"Source","Route","Destination","Action","Size","LastWriteTime"
"C:\Users\13527\Desktop\WHOLE_HOUSE_DOUBLE_PASS_MULE_CRITIQUE_RETURN_20260520_001.zip","C:\Users\13527\Desktop\123\TOOL_PACKS\INCOMING_ZIPS","C:\Users\13527\Desktop\123\TOOL_PACKS\INCOMING_ZIPS\WHOLE_HOUSE_DOUBLE_PASS_MULE_CRITIQUE_RETURN_20260520_001.zip","PLAN","22623","5/20/2026 2:06:27 AM"
"C:\Users\13527\Desktop\Worming from Home Demo.url","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\URL_SHORTCUTS","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\URL_SHORTCUTS\Worming from Home Demo.url","PLAN","223","4/9/2026 4:04:09 PM"
"C:\Users\13527\Downloads\01_recursive_core_architecture.md","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\01_recursive_core_architecture.md","PLAN","34950","5/6/2026 2:34:55 AM"
"C:\Users\13527\Downloads\01_recursive_core_seed_test_clean.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\01_recursive_core_seed_test_clean.txt","PLAN","8218","5/6/2026 12:16:35 AM"
"C:\Users\13527\Downloads\03_localbot_machine_evidence (1).md","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\03_localbot_machine_evidence (1).md","PLAN","53081","5/6/2026 2:34:58 AM"
"C:\Users\13527\Downloads\AGENTS (1).md","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\AGENTS (1).md","PLAN","1455","5/13/2026 9:28:10 PM"
"C:\Users\13527\Downloads\AGENTS.md","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\AGENTS.md","PLAN","3529","5/10/2026 12:14:05 PM"
"C:\Users\13527\Downloads\ALARM_DEBUGGER_FILING_CABINET_INVENTORY_20260522.md","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\ALARM_DEBUGGER_FILING_CABINET_INVENTORY_20260522.md","PLAN","11438","5/22/2026 4:46:41 AM"
"C:\Users\13527\Downloads\ALGORITHM_CANDIDATE_LEDGER_COMBINED_20260518.md","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\ALGORITHM_CANDIDATE_LEDGER_COMBINED_20260518.md","PLAN","26858","5/18/2026 5:52:01 AM"
"C:\Users\13527\Downloads\APPLY_CHILD_SHELL_PROBLEM_SOLVER_LOCK_SAVE_20260521_080235.ps1","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING\APPLY_CHILD_SHELL_PROBLEM_SOLVER_LOCK_SAVE_20260521_080235.ps1","PLAN","17266","5/21/2026 3:55:41 AM"
"C:\Users\13527\Downloads\APPLY_DATA_ORDER_OUROBOROS_LEDGER_20260521_071919.ps1","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING\APPLY_DATA_ORDER_OUROBOROS_LEDGER_20260521_071919.ps1","PLAN","18839","5/21/2026 3:17:33 AM"
"C:\Users\13527\Downloads\APPLY_FIRST_INTAKE_LEDGER_ENTRY_20260521_073459.ps1","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING\APPLY_FIRST_INTAKE_LEDGER_ENTRY_20260521_073459.ps1","PLAN","11050","5/21/2026 3:27:58 AM"
"C:\Users\13527\Downloads\ARTIFACT_SELF_CHECK_SECOND_LIVE_USE_20260520.ps1","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING\ARTIFACT_SELF_CHECK_SECOND_LIVE_USE_20260520.ps1","PLAN","16990","5/20/2026 4:39:28 AM"
"C:\Users\13527\Downloads\BITSTRING_BINARY_LOGIC_BOSS_GROUPED_LEDGER_20260518 (1).md","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\BITSTRING_BINARY_LOGIC_BOSS_GROUPED_LEDGER_20260518 (1).md","PLAN","25306","5/18/2026 6:06:02 AM"
"C:\Users\13527\Downloads\BITSTRING_BINARY_LOGIC_BOSS_GROUPED_LEDGER_20260518.md","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\BITSTRING_BINARY_LOGIC_BOSS_GROUPED_LEDGER_20260518.md","PLAN","24100","5/18/2026 6:03:52 AM"
"C:\Users\13527\Downloads\BOSS_GHOST_TODO_MAP_V3_CLEAN_DELIVERY_FIX_20260520.ps1","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING\BOSS_GHOST_TODO_MAP_V3_CLEAN_DELIVERY_FIX_20260520.ps1","PLAN","28675","5/20/2026 4:34:59 AM"
"C:\Users\13527\Downloads\BOSS_GHOST_TODO_TRIAGE_MAP_20260520.ps1","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING\BOSS_GHOST_TODO_TRIAGE_MAP_20260520.ps1","PLAN","20086","5/20/2026 4:24:35 AM"
"C:\Users\13527\Downloads\BOSS_GHOST_TODO_TRIAGE_MAP_V2_20260520 (1).ps1","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING\BOSS_GHOST_TODO_TRIAGE_MAP_V2_20260520 (1).ps1","PLAN","21274","5/20/2026 4:27:41 AM"
"C:\Users\13527\Downloads\BOSS_GHOST_TODO_TRIAGE_MAP_V2_20260520.ps1","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING\BOSS_GHOST_TODO_TRIAGE_MAP_V2_20260520.ps1","PLAN","21274","5/20/2026 4:29:42 AM"
"C:\Users\13527\Downloads\BOSS_WHIRLPOOL_3_LAP_MULE_HANDOFF_20260522.md","C:\Users\13527\Desktop\123\MULE_WORKSHOP\ASSISTANT_TO_MULE","C:\Users\13527\Desktop\123\MULE_WORKSHOP\ASSISTANT_TO_MULE\BOSS_WHIRLPOOL_3_LAP_MULE_HANDOFF_20260522.md","PLAN","6984","5/22/2026 3:29:58 PM"
"C:\Users\13527\Downloads\BRAIN_DISEASE_DYSFUNCTION_SYSTEMS_COMPUTATION_RESEARCH_MAP_V2_20260522.md","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\BRAIN_DISEASE_DYSFUNCTION_SYSTEMS_COMPUTATION_RESEARCH_MAP_V2_20260522.md","PLAN","38098","5/22/2026 1:18:12 PM"
"C:\Users\13527\Downloads\BUILD_NO_GIT_COMMAND_CENTER_V1_20260521.ps1","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING\BUILD_NO_GIT_COMMAND_CENTER_V1_20260521.ps1","PLAN","26124","5/21/2026 2:08:35 AM"
"C:\Users\13527\Downloads\CALCULATED_PRECISION_TRIAGE_OPENAI_AND_CLEAN_SEED_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CALCULATED_PRECISION_TRIAGE_OPENAI_AND_CLEAN_SEED_20260516.txt","PLAN","7013","5/16/2026 2:46:33 AM"
"C:\Users\13527\Downloads\CAPTURE_YOUTUBE_Dgbci0GC1vk_TO_123_20260522.ps1","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING\CAPTURE_YOUTUBE_Dgbci0GC1vk_TO_123_20260522.ps1","PLAN","4245","5/22/2026 2:22:15 PM"
"C:\Users\13527\Downloads\CARL_GUSTAV_JUNG_DIGITAL_JAR_DEEP_RESEARCH_20260522.md","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\CARL_GUSTAV_JUNG_DIGITAL_JAR_DEEP_RESEARCH_20260522.md","PLAN","39443","5/22/2026 2:46:18 AM"
"C:\Users\13527\Downloads\CHAT_HOUSE_RULES_COCKPIT_CARD_APPLIED_20260522.md","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\CHAT_HOUSE_RULES_COCKPIT_CARD_APPLIED_20260522.md","PLAN","15979","5/22/2026 2:33:03 PM"
"C:\Users\13527\Downloads\CHILD_SHELL_CALLABLE_ROUTE_INSTALL_PACKET_20260521_074327.md","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\CHILD_SHELL_CALLABLE_ROUTE_INSTALL_PACKET_20260521_074327.md","PLAN","7732","5/21/2026 3:36:26 AM"
"C:\Users\13527\Downloads\clean_core_growth_transparent_cropped (1).png","C:\Users\13527\Desktop\123\MEDIA_INTAKE\IMAGES","C:\Users\13527\Desktop\123\MEDIA_INTAKE\IMAGES\clean_core_growth_transparent_cropped (1).png","PLAN","1609561","5/13/2026 10:26:29 PM"
"C:\Users\13527\Downloads\clean_core_growth_transparent_cropped.png","C:\Users\13527\Desktop\123\MEDIA_INTAKE\IMAGES","C:\Users\13527\Desktop\123\MEDIA_INTAKE\IMAGES\clean_core_growth_transparent_cropped.png","PLAN","1609561","5/13/2026 10:26:29 PM"
"C:\Users\13527\Downloads\clean_core_growth_transparent_full.png","C:\Users\13527\Desktop\123\MEDIA_INTAKE\IMAGES","C:\Users\13527\Desktop\123\MEDIA_INTAKE\IMAGES\clean_core_growth_transparent_full.png","PLAN","1983031","5/13/2026 10:26:13 PM"
"C:\Users\13527\Downloads\clean_milk_folder_icon.zip","C:\Users\13527\Desktop\123\TOOL_PACKS\INCOMING_ZIPS","C:\Users\13527\Desktop\123\TOOL_PACKS\INCOMING_ZIPS\clean_milk_folder_icon.zip","PLAN","158362","5/7/2026 1:12:51 AM"
"C:\Users\13527\Downloads\clean_milk_only_icon_and_picture.zip","C:\Users\13527\Desktop\123\TOOL_PACKS\INCOMING_ZIPS","C:\Users\13527\Desktop\123\TOOL_PACKS\INCOMING_ZIPS\clean_milk_only_icon_and_picture.zip","PLAN","2479541","5/7/2026 1:09:38 AM"
"C:\Users\13527\Downloads\CLEAN_SEED_AGENT_MODE_SELECTION_VERDICT_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_AGENT_MODE_SELECTION_VERDICT_20260516.txt","PLAN","2184","5/16/2026 3:53:46 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_ALIGNMENT_CHECK.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_ALIGNMENT_CHECK.txt","PLAN","225646","5/10/2026 11:48:05 AM"
"C:\Users\13527\Downloads\CLEAN_SEED_ASSISTANT_BOOT_COMMAND_CURRENT_WORK_POINTER_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_ASSISTANT_BOOT_COMMAND_CURRENT_WORK_POINTER_20260516.txt","PLAN","2764","5/16/2026 5:10:03 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_ASSISTANT_BOOT_POINTER_FRESH_USE_TEST_PACKET_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_ASSISTANT_BOOT_POINTER_FRESH_USE_TEST_PACKET_20260516.txt","PLAN","1968","5/16/2026 5:11:59 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_ASSISTANT_BOOT_POINTER_FRESH_USE_TEST_VERDICT_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_ASSISTANT_BOOT_POINTER_FRESH_USE_TEST_VERDICT_20260516.txt","PLAN","2212","5/16/2026 5:16:30 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_ASSISTANT_ENTRY_CARD_FRESH_WORK_TEST_PACKET_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_ASSISTANT_ENTRY_CARD_FRESH_WORK_TEST_PACKET_20260516.txt","PLAN","1903","5/16/2026 5:00:26 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_ASSISTANT_ENTRY_CARD_FRESH_WORK_TEST_VERDICT_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_ASSISTANT_ENTRY_CARD_FRESH_WORK_TEST_VERDICT_20260516.txt","PLAN","2137","5/16/2026 5:06:35 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_ASSISTANT_READ_WORK_ENTRY_CARD_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_ASSISTANT_READ_WORK_ENTRY_CARD_20260516.txt","PLAN","3676","5/16/2026 4:58:08 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_CENTRAL_PARKING_NEXT_NEEDED_ENGINE_V1_1_JOKER_ORDERED_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_CENTRAL_PARKING_NEXT_NEEDED_ENGINE_V1_1_JOKER_ORDERED_20260516.txt","PLAN","5142","5/16/2026 4:24:26 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_CENTRAL_PARKING_NEXT_NEEDED_ENGINE_V1_1_TRI_RIVAL_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_CENTRAL_PARKING_NEXT_NEEDED_ENGINE_V1_1_TRI_RIVAL_20260516.txt","PLAN","5734","5/16/2026 4:09:38 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_CENTRAL_PARKING_NEXT_NEEDED_ENGINE_V1_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_CENTRAL_PARKING_NEXT_NEEDED_ENGINE_V1_20260516.txt","PLAN","6041","5/16/2026 4:00:09 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_COMPACTION_HOUSEKEEPING_CLOSURE_RULE_V1_1.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_COMPACTION_HOUSEKEEPING_CLOSURE_RULE_V1_1.txt","PLAN","13771","5/16/2026 4:20:31 AM"
"C:\Users\13527\Downloads\CLEAN_SEED_CORE_CHAT_CONTINUATION_PACK_V1.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_CORE_CHAT_CONTINUATION_PACK_V1.txt","PLAN","10833","5/15/2026 12:14:48 AM"
"C:\Users\13527\Downloads\CLEAN_SEED_CURRENT_BOARD_FRONT_DESK_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_CURRENT_BOARD_FRONT_DESK_20260516.txt","PLAN","7134","5/16/2026 3:01:02 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_CURRENT_BOARD_FRONT_DESK_V2_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_CURRENT_BOARD_FRONT_DESK_V2_20260516.txt","PLAN","4190","5/16/2026 3:34:36 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_CURRENT_WORK_BOARD_ASSISTANT_BOOT_CHAIN_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_CURRENT_WORK_BOARD_ASSISTANT_BOOT_CHAIN_20260516.txt","PLAN","2877","5/16/2026 5:20:07 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_CURRENT_WORK_SELECTION_AFTER_BOOT_CHAIN_PASS_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_CURRENT_WORK_SELECTION_AFTER_BOOT_CHAIN_PASS_20260516.txt","PLAN","1912","5/16/2026 5:19:14 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_FREQUENCY_SENSOR_GUARD_ROPE_NOTES_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_FREQUENCY_SENSOR_GUARD_ROPE_NOTES_20260516.txt","PLAN","10571","5/16/2026 2:14:53 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_FRESH_CHAT_PUBLIC_FRONT_DOOR_TEST_PACKET_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_FRESH_CHAT_PUBLIC_FRONT_DOOR_TEST_PACKET_20260516.txt","PLAN","2377","5/16/2026 3:37:41 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_FRESH_READER_ROUTE_SELECTOR_TEST_PACKET_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_FRESH_READER_ROUTE_SELECTOR_TEST_PACKET_20260516.txt","PLAN","1827","5/16/2026 4:49:29 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_FRESH_READER_ROUTE_SELECTOR_TEST_VERDICT_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_FRESH_READER_ROUTE_SELECTOR_TEST_VERDICT_20260516.txt","PLAN","2023","5/16/2026 4:54:16 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_INSTALL_SCOPE_STATE_TRIGGER_LOCK.ps1","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING","C:\Users\13527\Desktop\123\COMMAND_CENTER\SCRIPTS\INCOMING\CLEAN_SEED_INSTALL_SCOPE_STATE_TRIGGER_LOCK.ps1","PLAN","1357073","5/9/2026 5:07:32 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_MASTER_PILE_NEIGHBOR_MAP_DROPIN_20260518.md","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\MD_INCOMING\CLEAN_SEED_MASTER_PILE_NEIGHBOR_MAP_DROPIN_20260518.md","PLAN","15203","5/17/2026 10:46:42 PM"
"C:\Users\13527\Downloads\clean_seed_model_spine_compact_v1.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\clean_seed_model_spine_compact_v1.txt","PLAN","7674","5/14/2026 7:44:06 PM"
"C:\Users\13527\Downloads\clean_seed_mule_brief_v4_slim_growth_safe.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\clean_seed_mule_brief_v4_slim_growth_safe.txt","PLAN","5751","5/14/2026 7:44:04 PM"
"C:\Users\13527\Downloads\clean_seed_mule_file_cleanup_recommendation_v1.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\clean_seed_mule_file_cleanup_recommendation_v1.txt","PLAN","2340","5/14/2026 7:44:09 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_MULE_NEEDED_ONLY.zip","C:\Users\13527\Desktop\123\TOOL_PACKS\INCOMING_ZIPS","C:\Users\13527\Desktop\123\TOOL_PACKS\INCOMING_ZIPS\CLEAN_SEED_MULE_NEEDED_ONLY.zip","PLAN","40957","5/14/2026 7:45:52 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_MULE_V6_SHED_FIRST_SYSTEM.zip","C:\Users\13527\Desktop\123\TOOL_PACKS\INCOMING_ZIPS","C:\Users\13527\Desktop\123\TOOL_PACKS\INCOMING_ZIPS\CLEAN_SEED_MULE_V6_SHED_FIRST_SYSTEM.zip","PLAN","10239","5/14/2026 8:48:37 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_NEW_CHAT_HANDOFF_CARD_20260516.txt","C:\Users\13527\Desktop\123\COMMAND_CENTER\HANDOFF_INBOX","C:\Users\13527\Desktop\123\COMMAND_CENTER\HANDOFF_INBOX\CLEAN_SEED_NEW_CHAT_HANDOFF_CARD_20260516.txt","PLAN","3410","5/16/2026 3:05:46 PM"
"C:\Users\13527\Downloads\CLEAN_SEED_NEW_IDEAS_AFTER_CPT_SAVE_20260516.txt","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING","C:\Users\13527\Desktop\123\SOURCE_TRANSFER\TEXT_INCOMING\CLEAN_SEED_NEW_IDEAS_AFTER_CPT_SAVE_20260516.txt","PLAN","11535","5/16/2026 3:07:10 AM"
