"ConceptId","Theme","UseHorizon","SignalText","SignalCount","SourceFileCount","SampleSources"
"CONCEPT-24147","KEY_LEDGER_MAP_REGISTRY","USE_NOW_OR_ENFORCE","## Rule","15","15","_MISC_DRAWER/READ_REPORTS/LIVING_OBJECT_REGISTRY_V2_REPAIR_TICKET_CANDIDATES_20260530_144741.md; _MISC_DRAWER/READ_REPORTS/LIVING_OBJECT_REGISTRY_V2_REPAIR_TICKET_CANDIDATES_20260530_144824.md; _MISC_DRAWER/READ_REPORTS/LIVING_OBJECT_REGISTRY_V2_REPAIR_TICKET_CANDIDATES_20260530_150820.md; _MISC_DRAWER/READ_REPORTS/LIVING_OBJECT_REGISTRY_V2_SELECTED_REPAIR_WAVE_PLAN_20260530_145146.md; _MISC_DRAWER/READ_REPORTS/LIVING_OBJECT_REGISTRY_V2_SELECTED_REPAIR_WAVE_PLAN_20260530_145220.md"
"CONCEPT-28629","PROOF_CUSTODY","USE_NOW_OR_ENFORCE","- Do not treat this block as proof of full cleanliness.","15","15","Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/BOUNDED_HELPER_CONTEXT_AND_LOCAL_MEANING_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/CHAT_HANDOFF_CHECKPOINT_AND_ROPE_CARRY_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/HELPER_AUTHORITY_TICKET_RULE_20260530.md; Jxhnny_Kl33N_Seedz/COMMAND_CENTER/CHILD_SHELL/HELPERS/HELPER_READ_CHILD_SHELL_STATUS_SUMMARY_LEVEL2.ps1; Jxhnny_Kl33N_Seedz/HOUSE_WORK/CHAT_COCKPIT/HELPER_SCRIPT_GENERATION_BASE_LAYER_GUARD_SUIT_CARD_V1_20260530.md"
"CONCEPT-07019","AUTHORITY_BOUNDARY","USE_NOW_OR_ENFORCE",".nav a { display:inline-block; padding:8px 12px; border:3px outset #e7c46e; background:#fff0a4; color:#691717; text-decoration:none; font-family:Arial, sans-serif; }","14","14","Jxhnny_Kl33N_Seedz/CleanSeedsBuild/NEOCITIES_CLEAN_SITE/apron-pocket.html; Jxhnny_Kl33N_Seedz/CleanSeedsBuild/NEOCITIES_CLEAN_SITE/guestbook.html; Jxhnny_Kl33N_Seedz/CleanSeedsBuild/NEOCITIES_CLEAN_SITE/porch-notes.html; Jxhnny_Kl33N_Seedz/CleanSeedsBuild/NEOCITIES_CLEAN_SITE/potting-bench.html; Jxhnny_Kl33N_Seedz/CleanSeedsBuild/NEOCITIES_CLEAN_SITE/screen-door.html"
"CONCEPT-20225","GENERAL_IDEA","USE_NOW_OR_ENFORCE","## Core rule","14","14","_MISC_DRAWER/READ_REPORTS/CODE_GATE_WARNING_JUDGMENT_POLICY_CARD_V1.1_20260527_225602.md; _MISC_DRAWER/READ_REPORTS/CODE_GATE_WARNING_JUDGMENT_POLICY_CARD_V1.1_20260527_230028.md; _MISC_DRAWER/READ_REPORTS/CODE_GATE_WARNING_JUDGMENT_POLICY_CARD_V1.1_20260527_232954.md; _MISC_DRAWER/READ_REPORTS/SOLUTION_TO_CONCEPT_PROPAGATION_REPORT_V0.1_20260527_211808.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/ALL_GATES_DATA_WASTE_TEAM_ENTRY_PROTOCOL_20260527.md"
"CONCEPT-20113","SHAPE_GATE_CONTRACT","USE_NOW_OR_ENFORCE","""INTERNAL_BINDER_PROBES_PASS"",""DYNAMIC_BINDER_PROBE"",""BLOCKER"",""True"",""PASS"",""FailedBinderProbeCount=0"",""Gate runtime must prove empty string/empty collection binder shapes before judging targets.""","14","14","_MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_082600/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_ALL_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_082600/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_PASSED_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_134806/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_ALL_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_134806/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_PASSED_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_134849/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_ALL_CHECKS.csv"
"CONCEPT-20644","SHAPE_GATE_CONTRACT","USE_NOW_OR_ENFORCE","""NO_VALIDATENOTNULLOREMPTY_ON_CONTENT_EVIDENCE"",""PARAMETER_CONTRACT"",""WATCH"",""True"",""PASS"",""ValidateNotNullOrEmptyContentParamCount=0"",""Do not reject blank proof/report/body content unless that blank state is truly illegal.""","14","14","_MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_082600/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_ALL_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_082600/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_PASSED_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_134806/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_ALL_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_134806/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_PASSED_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_134849/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_ALL_CHECKS.csv"
"CONCEPT-13293","SHAPE_GATE_CONTRACT","USE_NOW_OR_ENFORCE","""READ_REPORT_NO_WRITE_OR_EXECUTION_COMMANDS"",""AUTHORITY_BOUNDARY"",""BLOCKER"",""True"",""PASS"",""ForbiddenCommandCount=0; Mode=RECEIPT_PAIRING"",""Read/report helpers must not carry Git/write/move/delete/exec power.""","14","14","_MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_082600/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_ALL_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_082600/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_PASSED_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_134806/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_ALL_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_134806/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_PASSED_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_134849/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_ALL_CHECKS.csv"
"CONCEPT-06623","SHAPE_GATE_CONTRACT","USE_NOW_OR_ENFORCE","""TARGET_PARSEFILE_NO_ERRORS"",""PARSER"",""BLOCKER"",""True"",""PASS"",""ParseErrorCount=0"",""Repair parser errors before Code Gate or runtime.""","14","14","_MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_082600/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_ALL_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_082600/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_PASSED_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_134806/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_ALL_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_134806/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_PASSED_CHECKS.csv; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_20260531_134849/GENERATED_HELPER_SHAPE_CONTRACT_GATE_V1_1_LOCAL_ONLY_UNIQUE_20260531_1325_ALL_CHECKS.csv"
"CONCEPT-38390","TOOLS_HARNESS_RUNNERS","USE_NOW_OR_ENFORCE","## Rule","14","14","_CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/CHAT_DROP_COPY__POWERSHELL_OPERATOR_BINDING_GUARD_V1.md; _MISC_DRAWER/READ_REPORTS/HELPER_SCRIPT_GENERATION_BASE_LAYER_GUARD_V1_2_20260530_092451.md; _MISC_DRAWER/READ_REPORTS/HELPER_SCRIPT_GENERATION_BASE_LAYER_GUARD_V1_20260530_092145.md; _TOOLS_AND_SCRIPTS/ROOT_TOOL_PACKAGES_20260530/HELPER_FILE_LOGIC_RULE_SAVE_PACKET_V1/SAVE_HELPER_FILE_LOGIC_RULE_V1.ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/CLEAN_CHAT_DROP_CURRENT_ONLY_V1.ps1"
"CONCEPT-11061","TOOLS_HARNESS_RUNNERS","USE_NOW_OR_ENFORCE","Reason: Target script did not parse. It must not be executed.","14","14","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191643_BROKEN_PARSER_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192338_BROKEN_PARSER_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192613_BROKEN_PARSER_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_193550_BROKEN_PARSER_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_211015_CROSS_EXAM_RULE_EXPANSION_DISCOVERY_V1.ps1.md"
"CONCEPT-25850","PROOF_CUSTODY","USE_NOW_OR_ENFORCE","- Target SHA256 before repair: DCFD783E4E3DA07B47CF4BEE73CE61ACA381F5CF2E2234E9A2854BBD5E858EB0","13","13","Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/KEY_HASH_WORK_IDENTITY_LEDGER_MAP_NAMING_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/LOWER_LAYER_SAVE_ROUTE_HARNESS_ROOT_REPAIR_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/ROOT_DROP_HASH_KEY_INTAKE_RULE_20260530.md; Jxhnny_Kl33N_Seedz/BRAIN_LEARNING/ROOT_DROP_ZONE_IMMEDIATE_INTAKE_RULE_20260524.md; Jxhnny_Kl33N_Seedz/COMMAND_CENTER/TODO/TODO_NEW_ISSUES_TRUE_SEAM_NEXT_USE_20260524_001305.md"
"CONCEPT-20876","PROOF_CUSTODY","USE_NOW_OR_ENFORCE","XxXxX ===== COPY BLOCK TO CHAT END ===== XxXxX","13","13","_MISC_DRAWER/READ_REPORTS/FULL_WASH_CYCLE_V1_3_20260529_031053/SOURCE_WASH_FULL_CYCLE_V1_3_RECEIPT.txt; _MISC_DRAWER/READ_REPORTS/FULL_WASH_CYCLE_V1_3_20260529_033611/SOURCE_WASH_FULL_CYCLE_V1_3_RECEIPT.txt; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_192321_LOCK_SAVE_LANE_LOCKED_MANIFEST_STAGING_V1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_210658_LOCK_SAVE_LANE_LOCKED_MANIFEST_TINY_PROOF_V1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_210919_LOCK_SAVE_LANE_LOCKED_SAVE_MANIFEST_TEMPLATE_V1.ps1.md"
"CONCEPT-02361","PROOF_CUSTODY","USE_NOW_OR_ENFORCE","XxXxX ===== COPY BLOCK TO CHAT START ===== XxXxX","13","13","_MISC_DRAWER/READ_REPORTS/FULL_WASH_CYCLE_V1_3_20260529_031053/SOURCE_WASH_FULL_CYCLE_V1_3_RECEIPT.txt; _MISC_DRAWER/READ_REPORTS/FULL_WASH_CYCLE_V1_3_20260529_033611/SOURCE_WASH_FULL_CYCLE_V1_3_RECEIPT.txt; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_192321_LOCK_SAVE_LANE_LOCKED_MANIFEST_STAGING_V1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_210658_LOCK_SAVE_LANE_LOCKED_MANIFEST_TINY_PROOF_V1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260528_210919_LOCK_SAVE_LANE_LOCKED_SAVE_MANIFEST_TEMPLATE_V1.ps1.md"
