RECYCLE BIN QUARANTINE LEDGER 20260510
Protected active source: C:\Users\13527\Desktop\Clean Milk not-BLOAT
Quarantine root: C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510
Recovery method: Shell namespace CopyHere into one numbered quarantine folder per visible Recycle Bin item; no original-path restore.
Started: 2026-05-10 14:25:08 -04:00
Visible Recycle Bin items attempted: 127

ITEM 0001 | name=EVIDENCE_ARCHIVE_MANIFEST.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎9/‎2026 ‏‎10:47 AM | size=874 bytes | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0001__EVIDENCE_ARCHIVE_MANIFEST.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0012 | name=CLEAN_SEED_VISUAL_MAP.html | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=7.95 KB | type=Microsoft Edge HTML Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0012__CLEAN_SEED_VISUAL_MAP.html | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0013 | name=EVIDENCE_ARCHIVE_MANIFEST.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎9/‎2026 ‏‎11:40 AM | size=747 bytes | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0013__EVIDENCE_ARCHIVE_MANIFEST.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0014 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎7:10 AM | size=21.2 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0014__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0015 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎7:42 AM | size=127 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0015__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0016 | name=CleanSeedBuilds | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=121 KB | type=File folder | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0016__CleanSeedBuilds | script_like=NO | folder_container=YES | recovered=YES | failure=NONE
ITEM 0017 | name=PROMOTE_GOLD_INTAKE_PRIORITY_BOULDER_FIRST_BANK_LEAK.ps1.txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=7.63 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0017__PROMOTE_GOLD_INTAKE_PRIORITY_BOULDER_FIRST_BANK_LEAK.ps1.txt | script_like=YES | folder_container=NO | recovered=YES | failure=NONE
ITEM 0018 | name=README_START_HERE.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎4:51 PM | size=49.3 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0018__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0019 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎11:57 AM | size=179 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0019__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0020 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎6:30 AM | size=17.9 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0020__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0021 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=183 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0021__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0022 | name=RUN_VERIFY_GOLD_INTAKE_PRIORITY_FULL.ps1.txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=8.91 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0022__RUN_VERIFY_GOLD_INTAKE_PRIORITY_FULL.ps1.txt | script_like=YES | folder_container=NO | recovered=YES | failure=NONE
ITEM 0023 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not | deleted=‎5/‎8/‎2026 ‏‎6:06 AM | size=68.3 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0023__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0024 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎7:24 AM | size=96.8 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0024__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0025 | name=PATCH_RECEIPT_LOGIC_SERIOUSNESS_CALIBRATION.txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=3.16 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0025__PATCH_RECEIPT_LOGIC_SERIOUSNESS_CALIBRATION.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0026 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎7:10 AM | size=89.2 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0026__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0027 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎1:49 PM | size=188 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0027__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0028 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎1:49 PM | size=188 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0028__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0029 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎9/‎2026 ‏‎11:40 AM | size=179 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0029__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0030 | name=PATCH_RECEIPT_RULE_ID_PARTNER_SYNC.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎11:40 AM | size=2.23 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0030__PATCH_RECEIPT_RULE_ID_PARTNER_SYNC.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0031 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎8:55 AM | size=139 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0031__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0032 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎1:38 PM | size=139 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0032__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0033 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎7:10 AM | size=112 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0033__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0034 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎7:42 AM | size=127 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0034__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0035 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎11:40 AM | size=64.4 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0035__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0036 | name=PATCH_RECEIPT_POINT_CHECK_DECISION_LOOP.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎1:49 PM | size=3.90 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0036__PATCH_RECEIPT_POINT_CHECK_DECISION_LOOP.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0037 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎10:47 AM | size=59.6 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0037__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0038 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎8:33 AM | size=30.9 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0038__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0039 | name=CLOSED_LOOP_VERIFICATION_BOARD_SCOPE_STATE_TRIGGER_LOCK (1).txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=9.65 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0039__CLOSED_LOOP_VERIFICATION_BOARD_SCOPE_STATE_TRIGGER_LOCK_(1).txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0040 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎11:57 AM | size=64.4 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0040__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0041 | name=PATCH_RECEIPT_RULE_ID_PARTNER_SYNC.txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=2.23 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0041__PATCH_RECEIPT_RULE_ID_PARTNER_SYNC.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0042 | name=EVIDENCE_ARCHIVE_MANIFEST.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎11:32 AM | size=1.04 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0042__EVIDENCE_ARCHIVE_MANIFEST.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0043 | name=PATCH_RECEIPT_POINT_CHECK_DECISION_LOOP.txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=4.23 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0043__PATCH_RECEIPT_POINT_CHECK_DECISION_LOOP.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0044 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎4:51 PM | size=188 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0044__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0045 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎7:42 AM | size=24.6 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0045__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0046 | name=PATCH_RECEIPT_POINT_CHECK_DECISION_LOOP.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎1:49 PM | size=3.90 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0046__PATCH_RECEIPT_POINT_CHECK_DECISION_LOOP.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0047 | name=README_START_HERE.txt | original_path=C:\Users\13527\Downloads | deleted=‎5/‎8/‎2026 ‏‎1:38 PM | size=39.9 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0047__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0048 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not | deleted=‎5/‎8/‎2026 ‏‎4:39 AM | size=8.93 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0048__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0049 | name=EVIDENCE_ARCHIVE_MANIFEST.txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=1.19 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0049__EVIDENCE_ARCHIVE_MANIFEST.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0050 | name=PATCH_RECEIPT_SCOPE_STATE_TRIGGER_LOCK (1).txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=4.17 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0050__PATCH_RECEIPT_SCOPE_STATE_TRIGGER_LOCK_(1).txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0051 | name=PATCH_RECEIPT_RULE_CHECKER_PREVENTION_LOOP.txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=1.13 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0051__PATCH_RECEIPT_RULE_CHECKER_PREVENTION_LOOP.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0052 | name=EVIDENCE_ARCHIVE_MANIFEST.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎11:40 AM | size=747 bytes | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0052__EVIDENCE_ARCHIVE_MANIFEST.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0053 | name=CLEAN_SEED_ALIGNMENT_CHECK.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎8/‎2026 ‏‎6:54 AM | size=107 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0053__CLEAN_SEED_ALIGNMENT_CHECK.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0054 | name=PATCH_RECEIPT_POINT_CHECK_REPAIR_AND_METHOD_EVIDENCE.txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=4.82 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0054__PATCH_RECEIPT_POINT_CHECK_REPAIR_AND_METHOD_EVIDENCE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0055 | name=CLEAN_SEED_WRAP_GUIDE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not-BLOAT | deleted=‎5/‎9/‎2026 ‏‎11:40 AM | size=179 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0055__CLEAN_SEED_WRAP_GUIDE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0056 | name=CLEAN_SEED_ALIGNMENT_CHECK (1).txt | original_path=C:\Users\13527\Desktop\lost | deleted=‎5/‎10/‎2026 ‏‎1:25 PM | size=217 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0056__CLEAN_SEED_ALIGNMENT_CHECK_(1).txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
ITEM 0057 | name=README_START_HERE.txt | original_path=C:\Users\13527\Desktop\Clean Milk not | deleted=‎5/‎8/‎2026 ‏‎5:31 AM | size=10.8 KB | type=Text Document | folder=C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECYCLE_BIN_QUARANTINE_20260510\ITEM_0057__README_START_HERE.txt | script_like=NO | folder_container=NO | recovered=YES | failure=NONE
