"FileName","Kind","CurrentPath","OriginalRootPath","Bytes","SHA256","LastWriteTime","DurablePlacement","ShouldBeTracked","Reason"
"READ_LOWER_CAUSE_FIXTURE_PLAN_NEXT_TARGET_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\READ_LOWER_CAUSE_FIXTURE_PLAN_NEXT_TARGET_V1.ps1","C:\Users\13527\Desktop\123\READ_LOWER_CAUSE_FIXTURE_PLAN_NEXT_TARGET_V1.ps1","11479","69BC6B6079268A3899EF802B94E308BEC3DE36EC54DBA27D826AD857C07AC103","2026-06-02T22:36:01","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"READ_LOWER_CAUSE_GATE_FIXTURE_NEXT_WORK_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\READ_LOWER_CAUSE_GATE_FIXTURE_NEXT_WORK_V1.ps1","C:\Users\13527\Desktop\123\READ_LOWER_CAUSE_GATE_FIXTURE_NEXT_WORK_V1.ps1","11336","7992332D796EC074EC1BD765E7BC9AA13BFB142513BCF03875B6BD7A8C1BB2FA","2026-06-02T22:18:39","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"READ_POST_KEY_LEDGER_MAP_JOIN_INDEX_CARD_NEXT_ROUTE_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\READ_POST_KEY_LEDGER_MAP_JOIN_INDEX_CARD_NEXT_ROUTE_V1.ps1","C:\Users\13527\Desktop\123\READ_POST_KEY_LEDGER_MAP_JOIN_INDEX_CARD_NEXT_ROUTE_V1.ps1","13358","C163762E9EA8DE6E2CBF7DA62FF2C8F6D85B38D4F8D9B7AE98EE30743BE8949B","2026-06-03T00:16:01","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"READ_POST_KEY_LEDGER_MAP_JOIN_PLAN_NEXT_ROUTE_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\READ_POST_KEY_LEDGER_MAP_JOIN_PLAN_NEXT_ROUTE_V1.ps1","C:\Users\13527\Desktop\123\READ_POST_KEY_LEDGER_MAP_JOIN_PLAN_NEXT_ROUTE_V1.ps1","13103","7352549BD37BFEBEB245FE5360548B786BB58F8CA41C6FFF3A9800787473F2A0","2026-06-02T23:49:46","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"READ_POST_MINI_CASE_01_PROOF_PATTERN_NEXT_ROUTE_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\READ_POST_MINI_CASE_01_PROOF_PATTERN_NEXT_ROUTE_V1.ps1","C:\Users\13527\Desktop\123\READ_POST_MINI_CASE_01_PROOF_PATTERN_NEXT_ROUTE_V1.ps1","11828","1F06FB70D339CF249127983647144FC7DC980EE4652E52F5FB2D7AB9E618C2F8","2026-06-02T22:46:48","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"READ_POST_SAVE_NEXT_ROUTE_SELECTOR_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\READ_POST_SAVE_NEXT_ROUTE_SELECTOR_V1.ps1","C:\Users\13527\Desktop\123\READ_POST_SAVE_NEXT_ROUTE_SELECTOR_V1.ps1","9042","83AB91B6F153DF3A5A37D9F27A0F6686F1AADC5BBDA68214B6F9043F0005F0BD","2026-06-02T22:16:58","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"READ_PROJECT_COMMAND_CENTER_SOURCE_PACKET_LOCATOR_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\READ_PROJECT_COMMAND_CENTER_SOURCE_PACKET_LOCATOR_V1.ps1","C:\Users\13527\Desktop\123\READ_PROJECT_COMMAND_CENTER_SOURCE_PACKET_LOCATOR_V1.ps1","17992","48BD70DC5622DA590FDD46328EF4B534541689F5D19FF9BD7D4500939AACDF8B","2026-06-03T00:20:10","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"READ_PROJECT_COMMAND_CENTER_UI_COCKPIT_RETURN_START_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\READ_PROJECT_COMMAND_CENTER_UI_COCKPIT_RETURN_START_V1.ps1","C:\Users\13527\Desktop\123\READ_PROJECT_COMMAND_CENTER_UI_COCKPIT_RETURN_START_V1.ps1","14363","1E89C345656FB5C3A2A09F42AB5681CB44B36ECB238E194C1632ACAE478688AB","2026-06-03T00:18:26","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"REPAIR_HELPER_CONTROL_DIFF_CHECK_EXACT_SET_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\REPAIR_HELPER_CONTROL_DIFF_CHECK_EXACT_SET_V1.ps1","C:\Users\13527\Desktop\123\REPAIR_HELPER_CONTROL_DIFF_CHECK_EXACT_SET_V1.ps1","18804","E0F0A08D712D008890D305C2FAD2CF8F9E64F1DE78BBA9FBD3F209A9CB3E7903","2026-06-03T00:40:51","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"REPAIR_HELPER_CONTROL_DIFF_CHECK_FAILURE_EXACT_LINES_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\REPAIR_HELPER_CONTROL_DIFF_CHECK_FAILURE_EXACT_LINES_V1.ps1","C:\Users\13527\Desktop\123\REPAIR_HELPER_CONTROL_DIFF_CHECK_FAILURE_EXACT_LINES_V1.ps1","20770","D733D57BD079B9DBBD77B52D001F914CB4B37CEFAD497AA29FC8F5B4EE105D08","2026-06-03T00:44:42","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"REPAIR_HELPER_CONTROL_DIFF_CHECK_TARGETED_LINES_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\REPAIR_HELPER_CONTROL_DIFF_CHECK_TARGETED_LINES_V1.ps1","C:\Users\13527\Desktop\123\REPAIR_HELPER_CONTROL_DIFF_CHECK_TARGETED_LINES_V1.ps1","22483","EC8C193FCE22241B961D80A31025F579B62C4A5A13A922BE814D0F1164C0F490","2026-06-03T00:46:29","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"REPAIR_HELPER_CONTROL_IGNORED_SUPPORT_EXACT_SAVE_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\REPAIR_HELPER_CONTROL_IGNORED_SUPPORT_EXACT_SAVE_V1.ps1","C:\Users\13527\Desktop\123\REPAIR_HELPER_CONTROL_IGNORED_SUPPORT_EXACT_SAVE_V1.ps1","19464","4FECCDB563AEBD7D98D5BA86EE80FAC46485040B485FB59C3942093A4C83EFE0","2026-06-03T00:38:26","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"REPAIR_HELPER_CONTROL_REPAIR_BLOCKED_EXACT_SAVE_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\REPAIR_HELPER_CONTROL_REPAIR_BLOCKED_EXACT_SAVE_V1.ps1","C:\Users\13527\Desktop\123\REPAIR_HELPER_CONTROL_REPAIR_BLOCKED_EXACT_SAVE_V1.ps1","16633","D8F8177438655FA5923E91F013F7F1ED8CD25E73D2A9B92CA166EB4E0F21C4BA","2026-06-03T00:36:18","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"REPAIR_HELPER_CONTROL_STAGED_INDEX_FINAL_SAVE_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\REPAIR_HELPER_CONTROL_STAGED_INDEX_FINAL_SAVE_V1.ps1","C:\Users\13527\Desktop\123\REPAIR_HELPER_CONTROL_STAGED_INDEX_FINAL_SAVE_V1.ps1","19764","E076FF0721C5E3D544425B3338B223736640F0CB9A91DECEFF1242AE1DE6820E","2026-06-03T00:42:49","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"REPAIR_HELPER_CONTROL_UNSTAGE_REWRITE_RESTAGE_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\REPAIR_HELPER_CONTROL_UNSTAGE_REWRITE_RESTAGE_V1.ps1","C:\Users\13527\Desktop\123\REPAIR_HELPER_CONTROL_UNSTAGE_REWRITE_RESTAGE_V1.ps1","19511","9E9816E5A2694B581DFAA47571A991837D573F203AF33D2C5953FE50D144AF37","2026-06-03T00:48:22","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"REPAIR_LOWER_CAUSE_STAGED_SET_EOF_AND_REBUILD_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\REPAIR_LOWER_CAUSE_STAGED_SET_EOF_AND_REBUILD_V1.ps1","C:\Users\13527\Desktop\123\REPAIR_LOWER_CAUSE_STAGED_SET_EOF_AND_REBUILD_V1.ps1","14910","F499A8E92F01E521A770061CC0FC4C04B804C305F5E5E76705EB88736DD2447B","2026-06-02T22:02:26","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"REPAIR_STAGED_EOF_BLANK_LINES_EXACT_SET_V2.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\REPAIR_STAGED_EOF_BLANK_LINES_EXACT_SET_V2.ps1","C:\Users\13527\Desktop\123\REPAIR_STAGED_EOF_BLANK_LINES_EXACT_SET_V2.ps1","13357","48123DBF7F4F6D4B0B95C3EC797051EF5CFC9CE13DCEC8F1D82B590AF2004E81","2026-06-02T22:04:32","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"REVIEW_LOWER_CAUSE_STAGED_SET_NO_WRITE_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\REVIEW_LOWER_CAUSE_STAGED_SET_NO_WRITE_V1.ps1","C:\Users\13527\Desktop\123\REVIEW_LOWER_CAUSE_STAGED_SET_NO_WRITE_V1.ps1","8609","850948E58F7D1C719D34ABD9D540000843B2240D0E5EDCCF020C687E6F7E59DF","2026-06-02T21:59:30","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"WRITE_HELPER_FINAL_SENTINEL_CONTROL_REPAIR_PACKAGE_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\WRITE_HELPER_FINAL_SENTINEL_CONTROL_REPAIR_PACKAGE_V1.ps1","C:\Users\13527\Desktop\123\WRITE_HELPER_FINAL_SENTINEL_CONTROL_REPAIR_PACKAGE_V1.ps1","46072","AB230CCAEC1158D7D330A7985FD00F7FBDEB8ED5CA9F27E2F54590351444E634","2026-06-03T00:33:00","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"WRITE_KEY_LEDGER_MAP_DRIVER_EXACT_JOIN_PLAN_V1_1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\WRITE_KEY_LEDGER_MAP_DRIVER_EXACT_JOIN_PLAN_V1_1.ps1","C:\Users\13527\Desktop\123\WRITE_KEY_LEDGER_MAP_DRIVER_EXACT_JOIN_PLAN_V1_1.ps1","22622","38D1C8EDEC8314080398950C46EA032803BE14D34CFFEC923165A6205A379A2E","2026-06-02T23:25:42","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"WRITE_KEY_LEDGER_MAP_DRIVER_EXACT_JOIN_PLAN_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\WRITE_KEY_LEDGER_MAP_DRIVER_EXACT_JOIN_PLAN_V1.ps1","C:\Users\13527\Desktop\123\WRITE_KEY_LEDGER_MAP_DRIVER_EXACT_JOIN_PLAN_V1.ps1","22412","CCD5A036990B08E0C7FDBD08EAFDE69CBFA7949A1D5978E85BA6D2BCFCD32C6F","2026-06-02T22:53:25","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"WRITE_KEY_LEDGER_MAP_DRIVER_JOIN_INDEX_CARD_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\WRITE_KEY_LEDGER_MAP_DRIVER_JOIN_INDEX_CARD_V1.ps1","C:\Users\13527\Desktop\123\WRITE_KEY_LEDGER_MAP_DRIVER_JOIN_INDEX_CARD_V1.ps1","21771","6C2F491F9E106E8AF37725F8F797F4F6B4CE661DB662C9D0F1A19C33476895A8","2026-06-02T23:54:26","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"WRITE_LOWER_CAUSE_FILE_STAGE_COMMIT_EDGE_PROOF_PATTERN_V1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\WRITE_LOWER_CAUSE_FILE_STAGE_COMMIT_EDGE_PROOF_PATTERN_V1.ps1","C:\Users\13527\Desktop\123\WRITE_LOWER_CAUSE_FILE_STAGE_COMMIT_EDGE_PROOF_PATTERN_V1.ps1","19418","F9809C57E6A49E6A672CFB77AF43083833349BA5202F0012F5E234A6BA389A1E","2026-06-02T22:42:36","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"WRITE_LOWER_CAUSE_GATE_FIXTURE_MINIMUM_PROOF_PLAN_V0_1 (1).ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\WRITE_LOWER_CAUSE_GATE_FIXTURE_MINIMUM_PROOF_PLAN_V0_1 (1).ps1","C:\Users\13527\Desktop\123\WRITE_LOWER_CAUSE_GATE_FIXTURE_MINIMUM_PROOF_PLAN_V0_1 (1).ps1","21467","0FA854E8D6BC95E7695D73879BEF24CD6664F2760D282D8F33C9E3A25467B0DD","2026-06-02T22:24:34","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"WRITE_LOWER_CAUSE_GATE_FIXTURE_MINIMUM_PROOF_PLAN_V0_1.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\WRITE_LOWER_CAUSE_GATE_FIXTURE_MINIMUM_PROOF_PLAN_V0_1.ps1","C:\Users\13527\Desktop\123\WRITE_LOWER_CAUSE_GATE_FIXTURE_MINIMUM_PROOF_PLAN_V0_1.ps1","21467","0FA854E8D6BC95E7695D73879BEF24CD6664F2760D282D8F33C9E3A25467B0DD","2026-06-02T22:20:28","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"WRITE_LOWER_CAUSE_GATE_FIXTURE_MINIMUM_PROOF_PLAN_V0_3.ps1","helper-script","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPER_CONTROL_SCRIPTS_20260603\WRITE_LOWER_CAUSE_GATE_FIXTURE_MINIMUM_PROOF_PLAN_V0_3.ps1","C:\Users\13527\Desktop\123\WRITE_LOWER_CAUSE_GATE_FIXTURE_MINIMUM_PROOF_PLAN_V0_3.ps1","22618","A863190FFC66ED724E6C1D431567728A3F146E30568D89828D0563EC6CF230A8","2026-06-02T22:25:42","no; custody outside repo","unknown; review before import","Loose root helper script moved out of desktop root; not activated"
"ideas.txt","source-text-drop","C:\Users\13527\Desktop\123\_SOURCE_RESEARCH_NOTES\ROOT_TEXT_DROPS_20260603\ideas.txt","C:\Users\13527\Desktop\123\ideas.txt","12691","DBE8B9265A409C8774F11C9ECF4D379322DD9DA3D47E58F7879FE71397E9D56D","2026-06-03T00:32:39","source custody only; useful content injected into repo summaries","no; raw source stays outside tracked repo unless explicitly requested","Raw source preserved and summarized without full content export"
"RAW_HELPER_CONTROL_BLOCKER_CHAIN_SENTINEL_REPAIR_AND_ROUTER_LESSONS_20260603.txt","source-text-drop","C:\Users\13527\Desktop\123\_SOURCE_RESEARCH_NOTES\ROOT_TEXT_DROPS_20260603\RAW_HELPER_CONTROL_BLOCKER_CHAIN_SENTINEL_REPAIR_AND_ROUTER_LESSONS_20260603.txt","C:\Users\13527\Desktop\123\RAW_HELPER_CONTROL_BLOCKER_CHAIN_SENTINEL_REPAIR_AND_ROUTER_LESSONS_20260603.txt","63646","6B849A552C356FCFA962D8E7553B24FC8B5B10ED201317FC13D83A084F0254DF","2026-06-03T01:06:42","source custody only; useful content injected into repo summaries","no; raw source stays outside tracked repo unless explicitly requested","Raw source preserved and summarized without full content export"
