"TicketID","FileName","StaticDisposition","ContainsMoveItem","ContainsRemoveItem","ContainsRenameItem","ContainsCopyItem","ContainsGitCommand","RiskClass","SourceActionNow","SelectorActionNow","ActionNow","RecursiveDryRunExpansionRequired","WholeHouseClearance","ExecutionClearance","RouteClearance","CleanupClearance","DoctrinePromotion"
"RHG-DRY-047","ROUGH_LOCAL_IMPORT_ROOT_DROP_INTAKE_WASHER_QUEUE_CLOSEOUT_20260608.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-048","ROUGH_LOCAL_IMPORT_ROOT_DROP_INTAKE_WASHER_SOURCE_AUTHORITY_CANDIDATE_OPTION_SET_20260608.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-049","ROUGH_LOCAL_IMPORT_ROOT_DROP_INTAKE_WASHER_SUPPORT_CANDIDATE_OPTION_SET_V0_2_20260608.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-050","ROUGH_LOCAL_IMPORT_ROOT_DROP_INTAKE_WASHER_SUPPORT_CARD_SCHEMA_CHAIN_20260608.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-052","ROUGH_LOCAL_IMPORT_ROOT_HELD_GROUP_OPTION_SET_V0_2_20260608_HEAVY_BOUNDARY_SIGNAL_FIX_V0_2.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-053","ROUGH_LOCAL_IMPORT_ROOT_HELD_GROUP_OPTION_SET_V0_2_20260608_HEAVY_BOUNDARY_V0_1.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-054","ROUGH_LOCAL_IMPORT_ROOT_HELD_GROUP_READ_ONLY_PREP_CARD_V0_2_WITH_STRESS_BENCH_20260608_HEAVY_BOUNDARY.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-055","ROUGH_LOCAL_IMPORT_ROOT_HELD_GROUP_READ_ONLY_PREP_CARD_V0_2_WITH_STRESS_BENCH_SIGNAL_FIX_V0_2_20260608_HEAVY_BOUNDARY.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-056","ROUGH_LOCAL_IMPORT_ROOT_HELD_GROUP_READ_ONLY_REVIEW_V0_2_20260608_HEAVY_BOUNDARY_V0_1.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-060","RUN_ROOT_DROP_INTAKE_WASHER_HELPER_CANDIDATE_REVIEW_DRY_RUN_20260608.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","True","True","True","True","True","HIGH_RISK_COMMAND_MARKER__REVIEW_ONLY__BLOCKED_FOR_EXECUTION","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-061","RUN_ROOT_DROP_INTAKE_WASHER_MULTI_FILE_FIELD_TEST_20260608.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","False","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-062","RUN_ROOT_DROP_INTAKE_WASHER_OLD_LOAD_OR_SYSTEM_REVIEW_DRY_RUN_20260608.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","False","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-063","RUN_ROOT_DROP_INTAKE_WASHER_OLD_LOAD_OR_SYSTEM_REVIEW_DRY_RUN_V0_2_20260608.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-064","RUN_ROOT_DROP_INTAKE_WASHER_SOURCE_AUTHORITY_CANDIDATE_REVIEW_DRY_RUN_20260608.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","False","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-065","RUN_ROOT_DROP_INTAKE_WASHER_SUPPORT_CANDIDATE_REVIEW_DRY_RUN_20260608.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","True","True","True","False","True","HIGH_RISK_COMMAND_MARKER__REVIEW_ONLY__BLOCKED_FOR_EXECUTION","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-066","RUN_SELECTOR_FIELD_TEST_FOR_GENERATED_RUNNER_DEFECT_FAMILY_20260608.ps1","REMAINING_QUEUE_SELECTOR_OR_CLOSEOUT_REVIEW_ONLY","False","False","False","False","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-067","RUN_SELECTOR_FIELD_TEST_FOR_ROOT_DROP_INTAKE_WASHER_GATE_RULE_20260608.ps1","REMAINING_ROOT_HELD_OR_HOLD_REVIEW_ONLY","False","False","False","False","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-068","RUN_SELECTOR_FIELD_TEST_PACKET_FOR_POWERSHELL_HELPER_FILES_20260608.ps1","REMAINING_QUEUE_SELECTOR_OR_CLOSEOUT_REVIEW_ONLY","False","False","False","False","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
"RHG-DRY-069","RUN_SELECTOR_FIELD_TEST_PACKET_FOR_POWERSHELL_HELPER_FILES_V0_2_FREEZE_EVIDENCE_20260608.ps1","REMAINING_CUSTODY_PROOF_OR_RECEIPT_REVIEW_ONLY","False","False","False","True","True","COPY_OR_GIT_MARKER__REVIEW_ONLY__NO_EXECUTION_CLEARANCE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","NO","NO","YES","NO","NO","NO","NO","NO"
