"QueueId","Name","SizeBytes","SHA256","SourcePath","DeltaDisposition","Family","ProposedReviewBucket","RiskMarker","ReviewStatus","Reason","ActionNow","PhysicalActionAuthorized"
"LRD-011","BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_005_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_1.ps1","24868","515358642D7615AE9B5E7823A03B9E6A6A1E7FFAE91EB106ED708079F265A596","C:\Users\13527\Desktop\123\BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_005_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HELPER_SCRIPT_REVIEW_QUEUE_SCRIPT","ROOT_DELTA_REVIEW/HELPER_REVIEW_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","Helper review queue builder/selector outside current 58-row route plan.","NO","NO"
"LRD-012","BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_005_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_2.ps1","24805","31134288D7B77D28706973FA32B4AD3BE0E46C0E9617EDA7F8AAC240BFE5E307","C:\Users\13527\Desktop\123\BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_005_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HELPER_SCRIPT_REVIEW_QUEUE_SCRIPT","ROOT_DELTA_REVIEW/HELPER_REVIEW_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","Helper review queue builder/selector outside current 58-row route plan.","NO","NO"
"LRD-013","BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_006_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_1.ps1","25197","95013008E15D7ED5014BBF51EA90DBBD432AD75CCABEB94607269EF6165935FA","C:\Users\13527\Desktop\123\BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_006_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HELPER_SCRIPT_REVIEW_QUEUE_SCRIPT","ROOT_DELTA_REVIEW/HELPER_REVIEW_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","Helper review queue builder/selector outside current 58-row route plan.","NO","NO"
"LRD-014","BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_006_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_2.ps1","29334","35F008B8B42EFEAC12CAD56F8BA26DC5CCD47169B241419EA1FF1AE8C288024B","C:\Users\13527\Desktop\123\BUILD_HELPER_SCRIPT_REVIEW_NEXT_BATCH_SELECTOR_HSRB_006_FROM_64_QUEUE_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HELPER_SCRIPT_REVIEW_QUEUE_SCRIPT","ROOT_DELTA_REVIEW/HELPER_REVIEW_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","Helper review queue builder/selector outside current 58-row route plan.","NO","NO"
"LRD-015","BUILD_HELPER_SCRIPT_REVIEW_QUEUE_FROM_64_REVIEW_ROWS_NO_EXECUTION_20260609_V0_1.ps1","13270","CCA5E7E70E38CFED4763D0765718B942FC3F3F90219780997F0ED753EA95D271","C:\Users\13527\Desktop\123\BUILD_HELPER_SCRIPT_REVIEW_QUEUE_FROM_64_REVIEW_ROWS_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HELPER_SCRIPT_REVIEW_QUEUE_SCRIPT","ROOT_DELTA_REVIEW/HELPER_REVIEW_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","Helper review queue builder/selector outside current 58-row route plan.","NO","NO"
"LRD-016","BUILD_HELPER_SCRIPT_REVIEW_QUEUE_FROM_64_REVIEW_ROWS_NO_EXECUTION_20260609_V0_2.ps1","18739","DC2201A77C2A1B6755A4BB7B1919BA9D9BF5D1471E40A37B82CFADB263436645","C:\Users\13527\Desktop\123\BUILD_HELPER_SCRIPT_REVIEW_QUEUE_FROM_64_REVIEW_ROWS_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HELPER_SCRIPT_REVIEW_QUEUE_SCRIPT","ROOT_DELTA_REVIEW/HELPER_REVIEW_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","Helper review queue builder/selector outside current 58-row route plan.","NO","NO"
"LRD-017","BUILD_HSRB_001_LAST_PASSING_PROOF_AND_SUPERSEDED_FAILED_ATTEMPT_INDEX_NO_EXECUTION_20260609_V0_1.ps1","19228","E5DB9766D24CB91D07870F6F3488DA59DA39AC439131DC9D4167A0A1E76BB2B3","C:\Users\13527\Desktop\123\BUILD_HSRB_001_LAST_PASSING_PROOF_AND_SUPERSEDED_FAILED_ATTEMPT_INDEX_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-018","BUILD_HSRB_001_PROOF_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","11957","B092DFA7BEAA88578B8771D13B0740CBDFB4D1646AE1B0EEF93DBC660E182FAF","C:\Users\13527\Desktop\123\BUILD_HSRB_001_PROOF_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-019","BUILD_HSRB_001_PROOF_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_2.ps1","13324","64A8B554D55ACFD1C361D66B23140C2201797864DE712F0BAF4724FE201B6B78","C:\Users\13527\Desktop\123\BUILD_HSRB_001_PROOF_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-020","BUILD_HSRB_001_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","9525","E63B0B0CE457AC190552040FF378F41BF853EAF0C02CAC3FAA8685A43428C015","C:\Users\13527\Desktop\123\BUILD_HSRB_001_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-021","BUILD_HSRB_001_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_2.ps1","16799","643F81A0D24B052F1C97F88AC01AD1C3FFEBEE80D371115C13559B05378E3BB4","C:\Users\13527\Desktop\123\BUILD_HSRB_001_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-022","BUILD_HSRB_002_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","15250","F6D596A4E32DFA83D3C4BEDEBB85C3BCA047746A9E0F42EC2B4DD43BDE7E3476","C:\Users\13527\Desktop\123\BUILD_HSRB_002_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-023","BUILD_HSRB_002_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_2 (1).ps1","19150","D09F00A6C505558C321037900662379B2F9AA34EE8C13F4A400EFB8AC96CC97F","C:\Users\13527\Desktop\123\BUILD_HSRB_002_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_2 (1).ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-024","BUILD_HSRB_002_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_2.ps1","19150","D09F00A6C505558C321037900662379B2F9AA34EE8C13F4A400EFB8AC96CC97F","C:\Users\13527\Desktop\123\BUILD_HSRB_002_STATIC_REVIEW_DECISION_CLOSEOUT_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-025","BUILD_HSRB_002_TEMPLATE_RULE_AND_ATTEMPT_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","16004","0A7BB65A78B9C9EF62F4565AD5FF87FFD5C4D4DA2C11EE6AB0C09E14668B36A4","C:\Users\13527\Desktop\123\BUILD_HSRB_002_TEMPLATE_RULE_AND_ATTEMPT_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-026","BUILD_HSRB_002_TEMPLATE_RULE_AND_ATTEMPT_INDEX_NO_EXECUTION_20260609_V0_1.ps1","20207","954E98860D82F4D65610C9D5A27A07305BDC48E769DC42C1D36DB19A4D989BCE","C:\Users\13527\Desktop\123\BUILD_HSRB_002_TEMPLATE_RULE_AND_ATTEMPT_INDEX_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-027","BUILD_HSRB_003_RISK_MARKER_AND_DISPOSITION_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","30131","70A6B843B4C09FF21E3EF4B3D19B7A48552B55025D1FD0F9E15B6178BD2C6979","C:\Users\13527\Desktop\123\BUILD_HSRB_003_RISK_MARKER_AND_DISPOSITION_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-028","BUILD_HSRB_003_ROOT_DROP_INTAKE_WASHER_BUILD_OPTION_SET_RISK_MARKER_AND_DISPOSITION_INDEX_NO_EXECUTION_20260609_V0_1.ps1","33625","F48B2B532F1C684F8E6F679C84B146F5587E1C8D87C971CA35BDFD3CF425CAE7","C:\Users\13527\Desktop\123\BUILD_HSRB_003_ROOT_DROP_INTAKE_WASHER_BUILD_OPTION_SET_RISK_MARKER_AND_DISPOSITION_INDEX_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-029","BUILD_HSRB_003_ROOT_DROP_INTAKE_WASHER_BUILD_OPTION_SET_RISK_MARKER_AND_DISPOSITION_INDEX_NO_EXECUTION_20260609_V0_2.ps1","38657","8D34973748EF39C68B385BA2D98A776728CE0BC4C7BDA27B9E4CE0A00383A56A","C:\Users\13527\Desktop\123\BUILD_HSRB_003_ROOT_DROP_INTAKE_WASHER_BUILD_OPTION_SET_RISK_MARKER_AND_DISPOSITION_INDEX_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-030","BUILD_HSRB_003_STATIC_REVIEW_DECISION_CLOSEOUT_CONTRACT_FIRST_NO_EXECUTION_20260609_V0_2.ps1","26870","6D886CAEB95090D55BCFA08398A23CF390092E8989A5E0E146E323471174C5A0","C:\Users\13527\Desktop\123\BUILD_HSRB_003_STATIC_REVIEW_DECISION_CLOSEOUT_CONTRACT_FIRST_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-031","BUILD_HSRB_004_HELPER_FILE_SURFACE_PREFLIGHT_AND_PLANETARY_GATE_SELECTOR_DISPOSITION_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","27021","46003895CDF292D849EC0BB0B4F9D2B26962714C31E0DD1E95B03B0E3186CAD9","C:\Users\13527\Desktop\123\BUILD_HSRB_004_HELPER_FILE_SURFACE_PREFLIGHT_AND_PLANETARY_GATE_SELECTOR_DISPOSITION_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-032","BUILD_HSRB_004_HELPER_FILE_SURFACE_PREFLIGHT_AND_PLANETARY_GATE_SELECTOR_DISPOSITION_INDEX_NO_EXECUTION_20260609_V0_1.ps1","26980","36C89877A708AFBBA3393D635595CF5B9F70516AF6E26A2F1A929C29FEE13CF5","C:\Users\13527\Desktop\123\BUILD_HSRB_004_HELPER_FILE_SURFACE_PREFLIGHT_AND_PLANETARY_GATE_SELECTOR_DISPOSITION_INDEX_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-033","BUILD_HSRB_004_HELPER_FILE_SURFACE_PREFLIGHT_AND_PLANETARY_GATE_SELECTOR_DISPOSITION_INDEX_NO_EXECUTION_20260609_V0_2.ps1","30350","EF346628607410860847C566570D3B35256FDE201D8F7B7008137AC590D896D3","C:\Users\13527\Desktop\123\BUILD_HSRB_004_HELPER_FILE_SURFACE_PREFLIGHT_AND_PLANETARY_GATE_SELECTOR_DISPOSITION_INDEX_NO_EXECUTION_20260609_V0_2.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-034","BUILD_HSRB_004_HELPER_FILE_SURFACE_PREFLIGHT_AND_PLANETARY_GATE_SELECTOR_DISPOSITION_INDEX_NO_EXECUTION_20260609_V0_3.ps1","30273","CCE733E120D66D28A0E38509DCFC2C1CE74D247AD30F71A7B3EAAD7275F99163","C:\Users\13527\Desktop\123\BUILD_HSRB_004_HELPER_FILE_SURFACE_PREFLIGHT_AND_PLANETARY_GATE_SELECTOR_DISPOSITION_INDEX_NO_EXECUTION_20260609_V0_3.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-035","BUILD_HSRB_004_STATIC_REVIEW_DECISION_CLOSEOUT_CONTRACT_FIRST_NO_EXECUTION_20260609_V0_1.ps1","28751","E53FB22900F9DAF20E4BD061906B5CC2FDFA6BFBDE6BA8DFD4CD1C836E1699AE","C:\Users\13527\Desktop\123\BUILD_HSRB_004_STATIC_REVIEW_DECISION_CLOSEOUT_CONTRACT_FIRST_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-036","BUILD_HSRB_005_ROOT_HELD_ROUTE_OR_HOLD_AND_CUSTODY_FAMILY_DISPOSITION_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","21056","85B08CD61239EE84CF871B923D954C5EBFC7648C8F6FC58749C9C51073DFF4E8","C:\Users\13527\Desktop\123\BUILD_HSRB_005_ROOT_HELD_ROUTE_OR_HOLD_AND_CUSTODY_FAMILY_DISPOSITION_INDEX_CLOSEOUT_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
"LRD-037","BUILD_HSRB_005_ROOT_HELD_ROUTE_OR_HOLD_AND_CUSTODY_FAMILY_DISPOSITION_INDEX_NO_EXECUTION_20260609_V0_1.ps1","28146","7E06CB036C3841887DFBC99E3B8408172AD36253863D37D50E88DEE6495BC233","C:\Users\13527\Desktop\123\BUILD_HSRB_005_ROOT_HELD_ROUTE_OR_HOLD_AND_CUSTODY_FAMILY_DISPOSITION_INDEX_NO_EXECUTION_20260609_V0_1.ps1","ROOT_DELTA_UNREVIEWED_HOLD","HSRB_REVIEW_SCRIPT","ROOT_DELTA_REVIEW/HSRB_HELPER_SCRIPT","WATCH","USER_REVIEW_REQUIRED_NO_ROUTE","HSRB helper/review script outside current 58-row route plan.","NO","NO"
