"RelativePath","FullName","TopLevel","Extension","Length","LastWriteTimeUtc","Class"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0002__Teleporter137_\Teleporter137_\Jxhnny_Kl33N_Seedz\PUBLIC_PROOF_PACKETS\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521.zip","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0002__Teleporter137_\Teleporter137_\Jxhnny_Kl33N_Seedz\PUBLIC_PROOF_PACKETS\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521.zip","_LOCAL_CUSTODY_N_RECEIPTS",".zip","12946129","2026-05-21T05:29:12.6318611Z","RECEIPT"
"Jxhnny_Kl33N_Seedz\HOUSE_WORK\GATE_RINGS\MASTER_EXPANDED_GATE_RING_RUN2_10200_20260524\MASTER_GATE_RING_10200_RUN2_ORDERED_CANDIDATE.csv","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\GATE_RINGS\MASTER_EXPANDED_GATE_RING_RUN2_10200_20260524\MASTER_GATE_RING_10200_RUN2_ORDERED_CANDIDATE.csv","Jxhnny_Kl33N_Seedz",".csv","9311886","2026-05-25T03:30:04.9200559Z","PACKET_OR_ORDER"
"_LOCAL_CUSTODY_N_RECEIPTS\LOSSLESS_CUSTODY_ACCOUNTING_FAMILY_AUDIT_20260604\LOSSLESS_CUSTODY_FOCUSED_RULE_CONCEPT_INDEX.csv","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\LOSSLESS_CUSTODY_ACCOUNTING_FAMILY_AUDIT_20260604\LOSSLESS_CUSTODY_FOCUSED_RULE_CONCEPT_INDEX.csv","_LOCAL_CUSTODY_N_RECEIPTS",".csv","8664643","2026-06-05T01:35:16.5971559Z","RECEIPT"
"_MISC_DRAWER\READ_REPORTS\DEEPER_HOUSE_RULES_ROOMS_TOOLS_RESOURCES_FILE_LEDGER_V2_20260528_010508.csv","C:\Users\13527\Desktop\123\_MISC_DRAWER\READ_REPORTS\DEEPER_HOUSE_RULES_ROOMS_TOOLS_RESOURCES_FILE_LEDGER_V2_20260528_010508.csv","_MISC_DRAWER",".csv","6277370","2026-05-28T05:06:00.9915110Z","SOURCE"
"Jxhnny_Kl33N_Seedz\HOUSE_WORK\GATE_RINGS\MASTER_EXPANDED_GATE_RING_RUN2_10200_20260524\MASTER_GATE_RING_10200_RUN2_ORDERED_CANDIDATE.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\GATE_RINGS\MASTER_EXPANDED_GATE_RING_RUN2_10200_20260524\MASTER_GATE_RING_10200_RUN2_ORDERED_CANDIDATE.md","Jxhnny_Kl33N_Seedz",".md","5932310","2026-05-25T03:30:07.2993886Z","PACKET_OR_ORDER"
"_LOCAL_CUSTODY_N_RECEIPTS\LOSSLESS_CUSTODY_ACCOUNTING_FAMILY_AUDIT_20260604\LOSSLESS_CUSTODY_RAW_TERM_FILE_INDEX.csv","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\LOSSLESS_CUSTODY_ACCOUNTING_FAMILY_AUDIT_20260604\LOSSLESS_CUSTODY_RAW_TERM_FILE_INDEX.csv","_LOCAL_CUSTODY_N_RECEIPTS",".csv","5277097","2026-06-05T01:32:53.7348233Z","RECEIPT"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\REPORTS\RECYCLE_BIN_RECOVERY_FILE_HASH_LEDGER.csv","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\REPORTS\RECYCLE_BIN_RECOVERY_FILE_HASH_LEDGER.csv","_LOCAL_CUSTODY_N_RECEIPTS",".csv","4945115","2026-06-05T00:37:51.4258526Z","RECEIPT"
"_LOCAL_CUSTODY_N_RECEIPTS\MULE_ORDER__WHY_WERE_RECOVERED_ITEMS_REMOVED__ALL_WAYS__20260604\CURRENT_NON_RECOVERY_FILE_HASH_LEDGER.csv","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\MULE_ORDER__WHY_WERE_RECOVERED_ITEMS_REMOVED__ALL_WAYS__20260604\CURRENT_NON_RECOVERY_FILE_HASH_LEDGER.csv","_LOCAL_CUSTODY_N_RECEIPTS",".csv","4402185","2026-06-05T00:47:27.0062766Z","RECEIPT"
"_MISC_DRAWER\READ_REPORTS\DEEPER_HOUSE_RULES_ROOMS_TOOLS_RESOURCES_GAP_LEDGER_V2_20260528_010508.csv","C:\Users\13527\Desktop\123\_MISC_DRAWER\READ_REPORTS\DEEPER_HOUSE_RULES_ROOMS_TOOLS_RESOURCES_GAP_LEDGER_V2_20260528_010508.csv","_MISC_DRAWER",".csv","4230876","2026-05-28T05:06:01.3117625Z","SOURCE"
"HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\DUAL_COMMAND_CENTER_L0_REVIEW_PACKET_20260606\SOURCE_RAW\OUTSIDE_ASSISTANT_COOPERATION_INDEX_V0_2_SOURCE_TO_LIVE_L0_CUSTODY_CHAIN_RAW_20260605.md","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\DUAL_COMMAND_CENTER_L0_REVIEW_PACKET_20260606\SOURCE_RAW\OUTSIDE_ASSISTANT_COOPERATION_INDEX_V0_2_SOURCE_TO_LIVE_L0_CUSTODY_CHAIN_RAW_20260605.md","HOUSE_WORK",".md","2928504","2026-06-06T04:05:57.2275311Z","SOURCE"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0001__123\123\Jxhnny_Kl33N_Seedz\PUBLIC_PROOF_PACKETS\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521\UNPACKED\04_VISUALS\01_recursive_core_architecture.png","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0001__123\123\Jxhnny_Kl33N_Seedz\PUBLIC_PROOF_PACKETS\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521\UNPACKED\04_VISUALS\01_recursive_core_architecture.png","_LOCAL_CUSTODY_N_RECEIPTS",".png","2870105","2026-05-21T09:34:32.0000000Z","RECEIPT"
"_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0002__Teleporter137_\Teleporter137_\Jxhnny_Kl33N_Seedz\PUBLIC_PROOF_PACKETS\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521\UNPACKED\04_VISUALS\01_recursive_core_architecture.png","C:\Users\13527\Desktop\123\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0002__Teleporter137_\Teleporter137_\Jxhnny_Kl33N_Seedz\PUBLIC_PROOF_PACKETS\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521\UNPACKED\04_VISUALS\01_recursive_core_architecture.png","_LOCAL_CUSTODY_N_RECEIPTS",".png","2870105","2026-05-21T09:34:32.0000000Z","RECEIPT"
"Jxhnny_Kl33N_Seedz\PUBLIC_PROOF_PACKETS\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521\UNPACKED\04_VISUALS\01_recursive_core_architecture.png","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\PUBLIC_PROOF_PACKETS\SAM_REVIEW_CHILD_SHELL_RECURSIVE_CORE_PACKET_20260521\UNPACKED\04_VISUALS\01_recursive_core_architecture.png","Jxhnny_Kl33N_Seedz",".png","2870105","2026-05-21T09:34:32.0000000Z","PACKET_OR_ORDER"
"Jxhnny_Kl33N_Seedz\HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\PAST_WEEK_20260524_20260531\RUN_20260531_141441\PAST_WEEK_IDEA_CONCEPT_CAPTURE_V1_20260531_LOCAL_RECENT_FILE_INVENTORY.csv","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\PAST_WEEK_20260524_20260531\RUN_20260531_141441\PAST_WEEK_IDEA_CONCEPT_CAPTURE_V1_20260531_LOCAL_RECENT_FILE_INVENTORY.csv","Jxhnny_Kl33N_Seedz",".csv","2738164","2026-05-31T18:16:23.4427944Z","GENERAL"
"Jxhnny_Kl33N_Seedz\HOUSE_WORK\GATE_RINGS\MASTER_EXPANDED_GATE_RING_20260524\MASTER_GATE_RING_3400_EXPANDED_ORDERED_CANDIDATE.csv","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\GATE_RINGS\MASTER_EXPANDED_GATE_RING_20260524\MASTER_GATE_RING_3400_EXPANDED_ORDERED_CANDIDATE.csv","Jxhnny_Kl33N_Seedz",".csv","2603227","2026-05-25T03:19:28.2713159Z","PACKET_OR_ORDER"
"Jxhnny_Kl33N_Seedz\HOUSE_WORK\GATE_RINGS\MASTER_EXPANDED_GATE_RING_20260524\PRE_RUN2_BASELINE_20260524_233000\MASTER_GATE_RING_3400_EXPANDED_ORDERED_CANDIDATE.csv","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\GATE_RINGS\MASTER_EXPANDED_GATE_RING_20260524\PRE_RUN2_BASELINE_20260524_233000\MASTER_GATE_RING_3400_EXPANDED_ORDERED_CANDIDATE.csv","Jxhnny_Kl33N_Seedz",".csv","2603227","2026-05-25T03:19:28.2713159Z","PACKET_OR_ORDER"
"_MISC_DRAWER\READ_REPORTS\LIVING_OBJECT_REGISTRY_V2_CONTRACT_LEDGER_20260530_150820.csv","C:\Users\13527\Desktop\123\_MISC_DRAWER\READ_REPORTS\LIVING_OBJECT_REGISTRY_V2_CONTRACT_LEDGER_20260530_150820.csv","_MISC_DRAWER",".csv","2593172","2026-05-30T19:08:44.6681429Z","SOURCE"
"_MISC_DRAWER\READ_REPORTS\HOUSE_ODDITY_WALK_20260530\HOUSE_FILE_HASH_LEDGER_20260530_210527.csv","C:\Users\13527\Desktop\123\_MISC_DRAWER\READ_REPORTS\HOUSE_ODDITY_WALK_20260530\HOUSE_FILE_HASH_LEDGER_20260530_210527.csv","_MISC_DRAWER",".csv","2590394","2026-05-31T01:05:35.2484217Z","HASH_LEDGER"
"Jxhnny_Kl33N_Seedz\.git\objects\54\b789120abeefb444526375ab5c8d2754ca6c08","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\.git\objects\54\b789120abeefb444526375ab5c8d2754ca6c08","Jxhnny_Kl33N_Seedz","","2589199","2026-05-31T18:31:47.2183148Z","GENERAL"
