"object","classification","lane","decision","reason","privacy","authority","expected_home","proof"
"C:\Users\13527\Desktop\123\YT_TRANSCRIPTS","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\_BRIDGE_LIFECYCLE_RECEIPTS","RECEIPT","ROOT_OR_OTHER","ADOPT","KEEP_AS_PROOF_POINTER","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","C:\Users\13527\Desktop\123\GPT_PROMPTS_CUSTODY\RECEIPTS","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\_PARKED_BRIDGES","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\desktop.ini","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\MULE_WHOLE_HOME_METATRON_PARK_MAP_WORK_ORDER_V1.md","SOURCE","ROOT_OR_OTHER","PARK","MOVE_TO_MULE_WORKSHOP_AFTER_OUTPUT_RECEIPT","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\CHAT_INBOX","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\CHAT_OUTBOX","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\CHAT_RECEIPTS","RECEIPT","ROOT_OR_OTHER","ADOPT","KEEP_AS_PROOF_POINTER","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","C:\Users\13527\Desktop\123\GPT_PROMPTS_CUSTODY\RECEIPTS","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\INBOX","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\MULE_INBOX","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\MULE_RECEIPTS","RECEIPT","ROOT_OR_OTHER","ADOPT","KEEP_AS_PROOF_POINTER","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","C:\Users\13527\Desktop\123\GPT_PROMPTS_CUSTODY\RECEIPTS","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\OUTBOX","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\PROCESSED","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\RECEIPTS","RECEIPT","ROOT_OR_OTHER","ADOPT","KEEP_AS_PROOF_POINTER","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","C:\Users\13527\Desktop\123\GPT_PROMPTS_CUSTODY\RECEIPTS","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\REJECTED","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\RUNNERS","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\README.md","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","PUBLIC_SAFE_REVIEW_REQUIRED","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\info","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\objects","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\refs","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\config","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\description","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\HEAD","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\applypatch-msg.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\commit-msg.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\fsmonitor-watchman.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\post-update.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\pre-applypatch.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\pre-commit.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\pre-merge-commit.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\pre-push.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\pre-rebase.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\pre-receive.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\prepare-commit-msg.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\push-to-checkout.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\sendemail-validate.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\hooks\update.sample","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\info\exclude","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\objects\info","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\objects\pack","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\refs\heads","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\.git\refs\tags","UNKNOWN","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY","MULE_REVIEW_REQUIRED","ISSUE_REVIEW","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\CHAT_INBOX\CHAT_TO_CODEX_JOB_20260521_193532.md","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\CHAT_INBOX\CHAT_TO_CODEX_JOB_20260521_193941.md","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\CHAT_INBOX\CHAT_TO_CODEX_JOB_20260521_211126.md","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\CHAT_INBOX\CHAT_TO_CODEX_JOB_20260521_223919.md","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\CHAT_OUTBOX\CHAT_TO_CODEX_OUTPUT_20260521_193532.txt","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\CHAT_OUTBOX\CHAT_TO_CODEX_OUTPUT_20260521_193941.txt","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\CHAT_OUTBOX\CHAT_TO_CODEX_OUTPUT_20260521_211126.txt","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\CHAT_OUTBOX\CHAT_TO_CODEX_OUTPUT_20260521_223919.txt","SOURCE","ROOT_OR_OTHER","PARK","CLASSIFY_HOME_OR_ISSUE_REVIEW","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","Custody/source lane or candidate review; not CURRENT","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
"C:\Users\13527\Desktop\123\CODEX_CLI_BRIDGE_PROBE\CHAT_RECEIPTS\CHAT_TO_CODEX_RECEIPT_20260521_193532.txt","RECEIPT","ROOT_OR_OTHER","ADOPT","KEEP_AS_PROOF_POINTER","LOCAL_ONLY_PRIVATE_OR_SENSITIVE_METADATA","MULE_REVIEW_REQUIRED","C:\Users\13527\Desktop\123\GPT_PROMPTS_CUSTODY\RECEIPTS","WHOLE_HOME_INVENTORY.json/csv + source receipts when present"
