Term,Line,Class,Risk,Evidence
LOCK,358,REPORT_OUTPUT_STRING,REPORT_ONLY,"""WATCH_STOP / READ_ONLY_INSPECT_ACTIVE_TASK_V0_POINTER_BLOCKED / NO_MUTATION"""
NO_MUTATION,358,REPORT_OUTPUT_STRING,REPORT_ONLY,"""WATCH_STOP / READ_ONLY_INSPECT_ACTIVE_TASK_V0_POINTER_BLOCKED / NO_MUTATION"""
NO_MUTATION,360,REPORT_OUTPUT_STRING,REPORT_ONLY,"""PASS_WITH_WATCH / POINTER_MISSING_CARD_RETURNED / NO_MUTATION"""
PASS,360,REPORT_OUTPUT_STRING,REPORT_ONLY,"""PASS_WITH_WATCH / POINTER_MISSING_CARD_RETURNED / NO_MUTATION"""
NO_MUTATION,362,REPORT_OUTPUT_STRING,REPORT_ONLY,"""PASS / INSPECT_ACTIVE_TASK_CARD_RETURNED / NO_MUTATION"""
PASS,362,REPORT_OUTPUT_STRING,REPORT_ONLY,"""PASS / INSPECT_ACTIVE_TASK_CARD_RETURNED / NO_MUTATION"""
SHA256,372,REPORT_OUTPUT_STRING,REPORT_ONLY,"""PointerSHA256: $PointerSha256"""
COMPLETE,381,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"""LastCompletedStep: $LastCompletedStep"""
LOCK,387,REPORT_OUTPUT_STRING,REPORT_ONLY,"""BlockedPowers: $BlockedPowers"""
Receipt,392,REPORT_OUTPUT_STRING,REPORT_ONLY,"""SaveReceipts: $SaveReceipts"""
Receipts,392,REPORT_OUTPUT_STRING,REPORT_ONLY,"""SaveReceipts: $SaveReceipts"""
LOCK,398,REPORT_OUTPUT_STRING,REPORT_ONLY,"""BLOCKING_WARNING_COUNT: $($BlockingWarnings.Count)"""
LOCK,399,REPORT_OUTPUT_STRING,REPORT_ONLY,"""NON_BLOCKING_WARNING_COUNT: $($NonBlockingWarnings.Count)"""
DoesNotProve,404,REPORT_OUTPUT_STRING,REPORT_ONLY,"""DoesNotProve: $DoesNotProve"""
StopLine,405,REPORT_OUTPUT_STRING,REPORT_ONLY,"""StopLine: $StopLine"""
FAIL,406,REPORT_OUTPUT_STRING,REPORT_ONLY,"""FAILURE_COUNT: $($Failures.Count)"""
FAIL,407,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,if ($Failures.Count -gt 0) {
FAIL,408,UNKNOWN_AUTHORITY_CONTEXT,WATCH_REVIEW,"foreach ($Failure in $Failures) { ""FAILED_CHECK: $Failure"" }"
FinalVerdict,410,VARIABLE_REFERENCE,VARIABLE_REFERENCE_ONLY,$FinalVerdict
VERDICT,410,VARIABLE_REFERENCE,VARIABLE_REFERENCE_ONLY,$FinalVerdict
