"Severity","Path","Species","Field","FailureFamily","SuggestedStitch","Message"
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HELPER_GROWTH_EVENT_TAXONOMY_RULE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HELPER_GROWTH_EVENT_TAXONOMY_RULE_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HELPER_GROWTH_REPORT_QUALITY_GATE_RULE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HELPER_GROWTH_REPORT_QUALITY_GATE_RULE_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HELPER_GROWTH_REPORT_REVERSE_SUMMARY_PACKET_RULE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HELPER_GROWTH_REPORT_REVERSE_SUMMARY_PACKET_RULE_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HELPER_OUTPUT_SHAPE_SCALAR_SAFE_CONTRACT_RULE_20260528.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/HELPER_SAVE_CONTENT_VALIDATION_AND_ISSUE_LEARNING_RULE_20260529.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/NEED_TO_KNOW_BASES_HELPER_SLICE_RULE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","BRAIN_LEARNING/WORLD_CAPTURE_HELPERS_ADOPTION_LEARNING_RULE.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","COMMAND_CENTER/CHILD_SHELL/HELPERS/HELPER_READ_CHILD_SHELL_STATUS_SUMMARY_LEVEL2.ps1","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","COMMAND_CENTER/CHILD_SHELL/HELPERS/HELPER_READ_CHILD_SHELL_STATUS_SUMMARY_LEVEL2.ps1","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","COMMAND_CENTER/CHILD_SHELL/RUNNERS/RUN_CHILD_SHELL_LEVEL2_APPROVED_HELPER_ONCE.ps1","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/CHAT_COCKPIT/HELPER_SCRIPT_GENERATION_BASE_LAYER_GUARD_SUIT_CARD_V1_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/INTAKE/123_NON_GIT_AUDIT_20260522/HANDOFFS/MULE_KICKOFF_RULE_NERVOUS_SYSTEM_DEEP_DIVE_20260521.txt","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/TODO/CHAT_HANDOFF_CHECKPOINT_ROPE_CARRY_NEXT_USE_TODO_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/TODO/CHAT_HANDOFF_CHECKPOINT_ROPE_CARRY_NEXT_USE_TODO_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/TODO/HELPER_GROWTH_CHAIN_FLIGHT_RECORDER_FIRST_USE_TODO_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/TODO/HELPER_GROWTH_CHAIN_FLIGHT_RECORDER_FIRST_USE_TODO_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/TODO/HELPER_SCRIPT_GENERATION_BASE_LAYER_GUARD_NEXT_TODO_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/TODO/HELPER_SCRIPT_GENERATION_BASE_LAYER_GUARD_NEXT_TODO_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/TODO/LOCAL_HELPER_STATUS_INDEX_NEXT_WORK_20260528_002256.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/TODO/LOCAL_HELPER_STATUS_INDEX_NEXT_WORK_20260528_002256.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/TODO/LOCAL_HELPERS_STATUS_NOT_CODE_NEXT_WORK_20260528_001837.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/TODO/LOCAL_HELPERS_STATUS_NOT_CODE_NEXT_WORK_20260528_001837.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/TODO/PACKET_TOP_BLOCK_DENSE_HANDOFF_TODO_20260520.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/TODO/PACKET_TOP_BLOCK_DENSE_HANDOFF_TODO_20260520.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/TODO/SOURCE_TO_HOUSE_HELPER_LOGIC_NEXT_WORK_20260528.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/GEAR_RACK/FULL_WASH_CYCLE_HELPER_HARNESS_CARD_V1_20260529.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/GEAR_RACK/RULE_MACHINES/SOLUTION_TO_CONCEPT_CROSS_EXAM_FIT_LOOP_HELPER_CARD_20260527.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/CHAT_ASSISTANT_RULE_FLOW_LIVING_LEDGER_20260529.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/FRONT_GATE_PACKET_ROUTER_LIVING_LEDGER_20260529.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/HELPER_GROWTH_CHAIN_FLIGHT_RECORDER_LEDGER_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/LEARNING_GROWTH_LOG_SELF_REFLECTION_LEDGER_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/LEARNING_GROWTH_LOG_SELF_REFLECTION_LEDGER_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/NEED_TO_KNOW_BASES_CHAMPION_TOOLBELT_LIVING_LEDGER_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/SAVE_SCRIPT_EMPTY_COLLECTION_BINDING_LIVING_LEDGER_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/SAVE_SCRIPT_EMPTY_COLLECTION_BINDING_LIVING_LEDGER_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/SAVE_SCRIPT_EMPTY_CONTENT_BLOCKED_LIVING_LEDGER_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/SAVE_SCRIPT_EMPTY_CONTENT_BLOCKED_LIVING_LEDGER_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/SAVE_SCRIPT_EXPECTED_PARTIAL_DIRTY_RECOVERY_LIVING_LEDGER_20260529.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/SAVE_SCRIPT_GIT_WRAPPER_LIVING_LEDGER_20260529.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/SAVE_SCRIPT_GIT_WRAPPER_LIVING_LEDGER_20260529.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/SAVE_SCRIPT_PIPELINE_OPERATOR_LIVING_LEDGER_20260529.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/SAVE_SCRIPT_SELF_REFLECTION_LEDGER_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/HELPER_MEMORY_LEDGER/SAVE_SCRIPT_SELF_REFLECTION_LEDGER_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/RELATION_MAPS/HASH_KEY_FRONT_GATE_HELPER_ROUTER_MAP_SEED_20260529.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/RELATION_MAPS/HELPER_GROWTH_CHAIN_FLIGHT_RECORDER_MAP_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/RELATION_MAPS/NEED_TO_KNOW_BASES_HELPER_SLICE_MAP_SEED_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/SORTING_BENCH/HELPER_CONFIDENCE_LADDER_AND_SOURCE_TO_HOUSE_CAPTURE_20260528.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/SORTING_BENCH/HELPER_GROWTH_CHAIN_FLIGHT_RECORDER_CONTENDER_COMPARISON_CARD_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/SORTING_BENCH/HELPER_GROWTH_EMPTY_CONTENT_WRITE_BLOCKED_POWER_PLAY_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/SORTING_BENCH/HELPER_GROWTH_EMPTY_CONTENT_WRITE_BLOCKED_POWER_PLAY_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/SORTING_BENCH/HELPER_GROWTH_FINAL_STATUS_NOT_CLEAN_POWER_PLAY_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/SORTING_BENCH/HELPER_GROWTH_PLAN_EMPTY_COLLECTION_FAILURE_POWER_PLAY_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/SORTING_BENCH/HELPER_GROWTH_PLAN_EMPTY_COLLECTION_FAILURE_POWER_PLAY_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/FINAL_CHAT_HANDOFF_PACKET_TEMPLATE_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/FINAL_CHAT_HANDOFF_PACKET_TEMPLATE_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HANDOFF_PACKET_TEMPLATE_20260529.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_AUTHORITY_TICKET_TEMPLATE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_AUTHORITY_TICKET_TEMPLATE_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_CAPABILITY_CARD_TEMPLATE_20260529.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_CAPABILITY_CARD_TEMPLATE_20260529.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_GROWTH_EVENT_TEMPLATE_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_GROWTH_EVENT_TEMPLATE_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_GROWTH_REPORT_TEMPLATE_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_GROWTH_REPORT_TEMPLATE_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_GROWTH_RUN_MANIFEST_TEMPLATE_KEY_2E6F99ED9EFE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_LIVING_LEDGER_EVENT_TEMPLATE_20260529.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_LIVING_LEDGER_EVENT_TEMPLATE_20260529.md","HELPER_OBJECT","RouteEvidence","HELPER WITHOUT ASSAY","HELPER STITCH","Helper object should include route evidence fields."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_NEED_TO_KNOW_SLICE_TEMPLATE_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_PACKET_TEMPLATE_20260529.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","HOUSE_WORK/WORK_SHED/TEMPLATES/HELPER_SCRIPT_GENERATION_SAFE_PRIMITIVES_TEMPLATE_V1_20260530.md","HELPER_OBJECT","ReturnPath","ROOM WITHOUT RETURN","RETURN STITCH","Helper object should return with verdict/next condition."
"BLOCKER_ADJACENT_REVIEW","PROOF_HISTORY/ADAPT_ADOPT_CRITIQUE_LEARNING_GATE_RECEIPT_20260519.txt","RECEIPT_OBJECT","HashOrCommit","HASH WITHOUT BONE","BONE STITCH","Receipt should include hash/commit/status markers."
"BLOCKER_ADJACENT_REVIEW","PROOF_HISTORY/ADD_SIX_TOOL_LIVE_USE_BOX_001_20260517_164922.txt","RECEIPT_OBJECT","HashOrCommit","HASH WITHOUT BONE","BONE STITCH","Receipt should include hash/commit/status markers."
"BLOCKER_ADJACENT_REVIEW","PROOF_HISTORY/AGENT_KICKOFF_ADDENDUM_SUIT_UP_AND_ALARM_YIELD_20260517.txt","RECEIPT_OBJECT","HashOrCommit","HASH WITHOUT BONE","BONE STITCH","Receipt should include hash/commit/status markers."
"BLOCKER_ADJACENT_REVIEW","PROOF_HISTORY/AGENT_PREFLIGHT_AND_INTERRUPT_RULE_FIXES_20260517.txt","RECEIPT_OBJECT","HashOrCommit","HASH WITHOUT BONE","BONE STITCH","Receipt should include hash/commit/status markers."
"BLOCKER_ADJACENT_REVIEW","PROOF_HISTORY/AHA_SIGNAL_CALIBRATION_LOCK_RECEIPT_20260519.txt","RECEIPT_OBJECT","HashOrCommit","HASH WITHOUT BONE","BONE STITCH","Receipt should include hash/commit/status markers."
"BLOCKER_ADJACENT_REVIEW","PROOF_HISTORY/ANCHOR_CURRENT_TRUTH_SYNC_CANDIDATE_LOCK_RECEIPT_20260518.txt","RECEIPT_OBJECT","HashOrCommit","HASH WITHOUT BONE","BONE STITCH","Receipt should include hash/commit/status markers."
"BLOCKER_ADJACENT_REVIEW","PROOF_HISTORY/ANCHOR_QUEUE_STATE_SYNC_AFTER_SOFT_SUIT_TEST_RECEIPT_20260519.txt","RECEIPT_OBJECT","HashOrCommit","HASH WITHOUT BONE","BONE STITCH","Receipt should include hash/commit/status markers."
"BLOCKER_ADJACENT_REVIEW","PROOF_HISTORY/ASSISTANT_ORIGINATED_RULE_AND_PATTERN_USE_RULE_RECEIPT_20260519.txt","RECEIPT_OBJECT","HashOrCommit","HASH WITHOUT BONE","BONE STITCH","Receipt should include hash/commit/status markers."
"BLOCKER_ADJACENT_REVIEW","PROOF_HISTORY/ASSISTANT_WORK_RHYTHM_SOFTENING_RECEIPT_20260518.txt","RECEIPT_OBJECT","HashOrCommit","HASH WITHOUT BONE","BONE STITCH","Receipt should include hash/commit/status markers."
"BLOCKER_ADJACENT_REVIEW","PROOF_HISTORY/AWARENESS_ACROSS_THE_BOARD_PROGRESS_LOCK_RECEIPT_20260519.txt","RECEIPT_OBJECT","HashOrCommit","HASH WITHOUT BONE","BONE STITCH","Receipt should include hash/commit/status markers."
"BLOCKER_ADJACENT_REVIEW","PROOF_HISTORY/AWARENESS_PRIOR_MISTAKE_PREDICTIVE_LEARNING_CAPTURE_RECEIPT_20260519.txt","RECEIPT_OBJECT","HashOrCommit","HASH WITHOUT BONE","BONE STITCH","Receipt should include hash/commit/status markers."
"BLOCKER_ADJACENT_REVIEW","PROOF_HISTORY/BACKUP_FIX_LEARNING_ROOT_BACKGROUND_COMPOUND_INTEGRATION_001_20260517_172916/COMPOUNDING_SEED_LAYER.before.txt","RECEIPT_OBJECT","HashOrCommit","HASH WITHOUT BONE","BONE STITCH","Receipt should include hash/commit/status markers."
"BLOCKER_ADJACENT_REVIEW","PROOF_HISTORY/BACKUP_FIX_LEARNING_ROOT_BACKGROUND_COMPOUND_INTEGRATION_001_20260517_172916/GROWTH_COMPOUNDING_LOG.before.txt","RECEIPT_OBJECT","HashOrCommit","HASH WITHOUT BONE","BONE STITCH","Receipt should include hash/commit/status markers."
