"OriginalName","Class","FinalCustodyGroup","FinalPath","SHA256","HashMatch","AppliedNow"
"RUN_COMMAND_GRAMMAR_V0_1_LEXICON_ALIAS_INPUT_FLOW_DESIGN.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_V0_1_LEXICON_ALIAS_INPUT_FLOW_DESIGN.ps1","67E5BC4EB789490561B644E3ED6BEA2DEF6BC684C85272865EA0FC5AB6617632","True","parked for read-only inventory"
"RUN_COMMAND_GRAMMAR_V0_2_ACTIVE_TASK_POINTER_DESIGN_SAVE_GATE.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_V0_2_ACTIVE_TASK_POINTER_DESIGN_SAVE_GATE.ps1","245FEF607273D149338A1696CC3EC6C671B49C22F223488C4C42DBA8E2EDB971","True","parked for read-only inventory"
"RUN_COMMAND_GRAMMAR_V0_2_ACTIVE_TASK_POINTER_DESIGN.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_V0_2_ACTIVE_TASK_POINTER_DESIGN.ps1","51439222C9EF82260E4302391FD7263AF4355750E9662C904724E15E93343E68","True","parked for read-only inventory"
"RUN_COMMAND_GRAMMAR_V0_3_CONFIRMATION_CARD_DESIGN_SAVE_GATE.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_V0_3_CONFIRMATION_CARD_DESIGN_SAVE_GATE.ps1","1D0B953AC3900F018BEE2C455188F6363952781C6D7FD62EBF3CAC3928C49C52","True","parked for read-only inventory"
"RUN_COMMAND_GRAMMAR_V0_3_CONFIRMATION_CARD_DESIGN.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_V0_3_CONFIRMATION_CARD_DESIGN.ps1","2B540BF30589375D624C8642C35A14FC4504D5D3AB5C7F044A092BE7E18D8FBA","True","parked for read-only inventory"
"RUN_COMMAND_GRAMMAR_V0_4_POINTER_READ_WRITE_RULES_DESIGN_SAVE_GATE.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_V0_4_POINTER_READ_WRITE_RULES_DESIGN_SAVE_GATE.ps1","8DBA4DB87C7D7C51325EB8A9B6936F415A3C862EBE442E4596D2B62CFC53D110","True","parked for read-only inventory"
"RUN_COMMAND_GRAMMAR_V0_4_POINTER_READ_WRITE_RULES_DESIGN.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_V0_4_POINTER_READ_WRITE_RULES_DESIGN.ps1","0E449D04FCCC527AAEE582CE0888E74E9E34CA277FC79E4C9533CFDC60561A2A","True","parked for read-only inventory"
"RUN_COMMAND_GRAMMAR_V0_5_FIRST_READ_ONLY_INSPECT_COMMAND_DESIGN_SAVE_GATE.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_V0_5_FIRST_READ_ONLY_INSPECT_COMMAND_DESIGN_SAVE_GATE.ps1","34C551E6CA99D85524CECCF7935616B316927D69A8A24C31A5E5B6719ADE71AE","True","parked for read-only inventory"
"RUN_COMMAND_GRAMMAR_V0_5_FIRST_READ_ONLY_INSPECT_COMMAND_DESIGN.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_V0_5_FIRST_READ_ONLY_INSPECT_COMMAND_DESIGN.ps1","E289BD259EA237E2FCA5DE339A7E0F500DA80AE19AF7C94A477904885EC454D3","True","parked for read-only inventory"
"RUN_COMMAND_GRAMMAR_V0_6_GUARDED_LOCAL_ONLY_READ_IMPLEMENTATION_DESIGN_SAVE_GATE.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_V0_6_GUARDED_LOCAL_ONLY_READ_IMPLEMENTATION_DESIGN_SAVE_GATE.ps1","067AC0D15F421F9FB144E7D822EA4AC660B46F47544C4709BC7A8792B87594D6","True","parked for read-only inventory"
"RUN_COMMAND_GRAMMAR_V0_6_GUARDED_LOCAL_ONLY_READ_IMPLEMENTATION_DESIGN.ps1","temporary helper","command_grammar","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\COMMAND_GRAMMAR\RUN_COMMAND_GRAMMAR_V0_6_GUARDED_LOCAL_ONLY_READ_IMPLEMENTATION_DESIGN.ps1","225180AC7B12EB50FC7F7001F8A780260C82914D03C0112C76D2C144BF39F8D3","True","parked for read-only inventory"
"RUN_CONSOLE_SEVERITY_COLOR_RULE_SAVE_GATE.ps1","temporary helper","other_routing_and_decision","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\OTHER_ROUTING_AND_DECISION\RUN_CONSOLE_SEVERITY_COLOR_RULE_SAVE_GATE.ps1","C002549DCD7EF863CB57E3592E79347055508DCE0B42E3A501A0E39B24EC7CBA","True","parked for read-only inventory"
"RUN_GUARD_REVIEW_MICRO_002_VERIFIER_REPAIR_INPUT.ps1","temporary helper","guard_review","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\GUARD_REVIEW\RUN_GUARD_REVIEW_MICRO_002_VERIFIER_REPAIR_INPUT.ps1","3DB19FE90D80EEA04EF8B024CAE94E6892D3CE4AE8C291DBF7DA1CCBD9A138B2","True","parked for read-only inventory"
"RUN_GUARD_REVIEW_MICRO_003_INSPECT_FACE_INPUT.ps1","temporary helper","guard_review","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\GUARD_REVIEW\RUN_GUARD_REVIEW_MICRO_003_INSPECT_FACE_INPUT.ps1","8E93F3EFFCC7464BF1D6184D1B7331F6604E0B10D64C16694725F28C1FE372B2","True","parked for read-only inventory"
"RUN_GUARD_REVIEW_READ_ONLY_INSPECT_ACTIVE_TASK_V0_COLOR_V1_1.ps1","temporary helper","guard_review","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\GUARD_REVIEW\RUN_GUARD_REVIEW_READ_ONLY_INSPECT_ACTIVE_TASK_V0_COLOR_V1_1.ps1","B32C5D8402F461753FA96FE058345C417FF5FA1DD9C28A5D0122A3393583602A","True","parked for read-only inventory"
"RUN_GUARD_REVIEW_READ_ONLY_INSPECT_ACTIVE_TASK_V0_V1_1.ps1","temporary helper","guard_review","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\GUARD_REVIEW\RUN_GUARD_REVIEW_READ_ONLY_INSPECT_ACTIVE_TASK_V0_V1_1.ps1","6E9B44272E6ACD1148D3F092E7A6B88935B2C39B1E7A6EEE78C7C587DDABC60C","True","parked for read-only inventory"
"RUN_GUARD_REVIEW_READ_ONLY_INSPECT_ACTIVE_TASK_V0.ps1","temporary helper","guard_review","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\GUARD_REVIEW\RUN_GUARD_REVIEW_READ_ONLY_INSPECT_ACTIVE_TASK_V0.ps1","137C82EFED4DCC4B5C332D82348C7183FC950E22654C0A2757080B169C478D50","True","parked for read-only inventory"
"RUN_HOUSE_DOCK_LOCAL_GUARD_MICRO_002_SAVE_GATE.ps1","temporary helper","house_dock","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\HOUSE_DOCK\RUN_HOUSE_DOCK_LOCAL_GUARD_MICRO_002_SAVE_GATE.ps1","60AB57E5A9CDD431686BD2F27AE58493940A9F30EF64FBC04232EC944343D31A","True","parked for read-only inventory"
"RUN_HOUSE_DOCK_LOCAL_GUARD_V0_INSTALL_SELF_TEST_V1_1.ps1","temporary helper","house_dock","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\HOUSE_DOCK\RUN_HOUSE_DOCK_LOCAL_GUARD_V0_INSTALL_SELF_TEST_V1_1.ps1","BE1B31EA6AE237006A258207A3676EC6A1EDF000FBB29A998C2D5DB47C96C2A0","True","parked for read-only inventory"
"RUN_HOUSE_DOCK_LOCAL_GUARD_V0_INSTALL_SELF_TEST.ps1","temporary helper","house_dock","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\HOUSE_DOCK\RUN_HOUSE_DOCK_LOCAL_GUARD_V0_INSTALL_SELF_TEST.ps1","8B1E8E1C28AB48C7236E9727E506E05AF4968F5AB97729A5765E9326B9967369","True","parked for read-only inventory"
"RUN_HOUSE_DOCK_MICRO_003_AND_COMMAND_GRAMMAR_GOAL_SAVE_GATE.ps1","temporary helper","house_dock","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\HOUSE_DOCK\RUN_HOUSE_DOCK_MICRO_003_AND_COMMAND_GRAMMAR_GOAL_SAVE_GATE.ps1","9044904228CF5EF1785CCCC1CAE94BE566064A213DBC63991DD91B81126B879F","True","parked for read-only inventory"
"RUN_HOUSE_DOCK_MICRO_003_INSPECT_FACE_DESIGN.ps1","temporary helper","house_dock","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\HOUSE_DOCK\RUN_HOUSE_DOCK_MICRO_003_INSPECT_FACE_DESIGN.ps1","E375E1AE48933F6C487C65AC136BF3CF4AA63FA4D7839F26B92D96773E8A8C24","True","parked for read-only inventory"
"RUN_HOUSE_DOCK_SAVE_GATE_IGNORED_PATHS_REPAIR_V1_1.ps1","temporary helper","house_dock","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\HOUSE_DOCK\RUN_HOUSE_DOCK_SAVE_GATE_IGNORED_PATHS_REPAIR_V1_1.ps1","56CB816A3EB4C91E5C2997A40A7E515B4CE8BF54639DA389BACA4E319EE07BE6","True","parked for read-only inventory"
"RUN_HOUSE_DOCK_SAVE_GATE_IGNORED_WORK_SHED_REPAIR.ps1","temporary helper","house_dock","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\HOUSE_DOCK\RUN_HOUSE_DOCK_SAVE_GATE_IGNORED_WORK_SHED_REPAIR.ps1","652F618353791322D0C301D980E44E40B1655212B121D48319C712FFBFD5C981","True","parked for read-only inventory"
"RUN_READ_ONLY_INSPECT_ACTIVE_TASK_IMPLEMENTATION_DECISION_CARD.ps1","temporary helper","other_routing_and_decision","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\OTHER_ROUTING_AND_DECISION\RUN_READ_ONLY_INSPECT_ACTIVE_TASK_IMPLEMENTATION_DECISION_CARD.ps1","50D78F1F6D721897F7CDD591AC716112B4306BC6834D297B0849D427DCEC69F5","True","parked for read-only inventory"
"RUN_VERIFY_HOUSE_DOCK_MICRO_003_INSPECT_FACE_OUTPUT.ps1","temporary helper","house_dock","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\HOUSE_DOCK\RUN_VERIFY_HOUSE_DOCK_MICRO_003_INSPECT_FACE_OUTPUT.ps1","E0EF746BB9C6346749B29CE0AFD20F75C4588893F43E78EC03607ECBC4001B2C","True","parked for read-only inventory"
"RUN_WARNING_SELF_CLASSIFICATION_RULE_SAVE_GATE.ps1","temporary helper","other_routing_and_decision","C:\Users\13527\Desktop\123\_TOOLS_AND_SCRIPTS\ROOT_LOOSE_HELPERS_20260603\OTHER_ROUTING_AND_DECISION\RUN_WARNING_SELF_CLASSIFICATION_RULE_SAVE_GATE.ps1","B1AD233BCB5FBA38975FA10073DFF61F38AFA2E859075313830861573A0F158D","True","parked for read-only inventory"
